Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,18,18,18
Reserves,151,166,169
Borrowings,3,8,4
  └─ Long term Borrowings,0.15,0.00,0.00
  └─ Short term Borrowings,0.37,5.69,3.26
  └─ Lease Liabilities,2.64,2.01,0.97
  └─ Other Borrowings,0.00,0.01,
Other Liabilities,26,36,40
  └─ Trade Payables,16.03,23.00,27.65
  └─ Advance from Customers,0.96,1.35,
  └─ Other liability items,8.61,11.74,12.49
Total Liabilities,198,228,232
Fixed Assets,52,73,73
  └─ Land,3.03,3.03,
  └─ Building,33.28,47.53,
  └─ Plant Machinery,28.13,38.54,
  └─ Equipments,0.36,0.46,
  └─ Computers,1.38,1.59,
  └─ Furniture n fittings,1.98,2.24,
  └─ Vehicles,3.53,3.87,
  └─ Intangible Assets,0.37,0.39,0.13
  └─ Other fixed assets,0.06,0.06,
  └─ Gross Block,72.12,97.71,
  └─ Accumulated Depreciation,20.16,24.85,
CWIP,16,4,5
Investments,18,25,22
Other Assets,111,126,133
  └─ Inventories,48,56,50
  └─ Trade receivables,36,42,37
    └─ Receivables over 6m,4.82,3.16,
    └─ Receivables under 6m,37.92,43.82,
    └─ Prov for Doubtful,-6.26,-5.24,
  └─ Cash Equivalents,9,5,8
  └─ Loans n Advances,5,6,1
  └─ Other asset items,13,17,35
Total Assets,198,228,232
