Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2020
Equity Capital,0.70,7.33,7.66,7.66,10.66,10.66,10.66,11.05,11.05,
Reserves,1.09,2.23,4.50,5.98,8.55,10.96,15.06,21.50,28.09,
Borrowings,3.39,4.21,3.94,5.14,9.80,7.73,14.63,15.15,13.03,
  └─ Long term Borrowings,0.64,1.54,1.57,1.50,1.33,5.91,8.91,7.64,6.93,1.57
  └─ Short term Borrowings,2.57,2.45,2.11,3.32,7.94,1.70,5.61,7.39,6.10,2.11
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.11,0.12,0.12,0.00,0.00
  └─ Other Borrowings,0.18,0.22,0.26,0.32,0.53,0.01,-0.01,0.00,,
Other Liabilities,0.67,2.80,11.50,7.49,6.69,9.72,2.60,3.66,6.66,
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00
  └─ Trade Payables,0.26,0.67,0.17,0.57,1.10,1.53,1.07,1.10,1.22,0.17
  └─ Other liability items,0.41,2.13,11.33,6.92,5.59,8.19,1.53,2.53,5.44,11.59
Total Liabilities,5.85,16.57,27.60,26.27,35.70,39.07,42.95,51.36,58.83,
Fixed Assets,1.32,2.67,2.92,2.79,6.64,8.25,11.15,10.10,9.06,
  └─ Land,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,
  └─ Building,0.32,0.64,0.79,0.81,0.81,5.01,5.02,5.02,,
  └─ Plant Machinery,1.31,2.20,2.11,2.11,2.11,1.96,2.02,2.04,,
  └─ Equipments,0.00,0.00,0.00,0.00,4.11,0.00,2.12,2.12,,
  └─ Computers,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,,
  └─ Furniture n fittings,0.04,0.04,0.04,0.04,0.00,0.14,0.32,0.32,,
  └─ Vehicles,0.00,0.00,0.37,0.47,0.11,1.60,3.20,3.20,,
  └─ Intangible Assets,0.00,0.25,0.25,0.25,0.25,0.25,0.00,0.00,0.00,0.18
  └─ Other fixed assets,0.00,0.00,0.00,0.01,0.38,1.09,0.98,0.99,,
  └─ Gross Block,1.71,3.17,3.60,3.73,7.81,10.12,13.75,13.80,,
  └─ Accumulated Depreciation,0.39,0.50,0.67,0.94,1.18,1.87,2.60,3.69,,
CWIP,-0.00,-0.00,-0.00,-0.00,-0.00,2.03,2.08,4.71,4.86,
Investments,0.13,0.06,0.06,0.06,0.06,12.51,13.49,15.49,17.50,
Other Assets,4.40,13.84,24.62,23.42,29.00,16.28,16.23,21.06,27.41,
  └─ Inventories,0.86,1.27,1.37,1.73,2.43,1.77,2.28,2.42,2.10,1.37
  └─ Trade receivables,1.57,2.58,7.23,4.78,5.59,8.50,5.33,6.54,6.30,7.23
    └─ Receivables over 6m,0.12,0.44,0.42,0.42,0.51,2.05,0.90,1.41,,
    └─ Receivables under 6m,1.45,2.14,6.82,4.36,5.08,6.55,4.48,5.19,,
    └─ Prov for Doubtful,0.00,0.00,0.00,0.00,0.00,-0.11,-0.05,-0.07,,
  └─ Cash Equivalents,0.14,0.99,4.81,2.66,0.77,0.08,0.31,0.34,0.35,4.81
  └─ Loans n Advances,0.00,0.00,0.01,0.01,0.01,5.11,7.35,7.30,18.37,11.20
  └─ Other asset items,1.83,9.00,11.20,14.24,20.20,0.82,0.96,4.46,0.29,0.01
Total Assets,5.85,16.57,27.60,26.27,35.70,39.07,42.95,51.36,58.83,
