Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01
Reserves,-5.00,-3.62,-15.41,-33.90,-51.79,-68.47,-57.81,-60.80,-38.26,-40.60
Borrowings,123.31,36.48,0.00,0.00,0.00,0.00,0.00,0.00,18.65,0.00
  └─ Long term Borrowings,49.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Short term Borrowings,62.96,36.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Preference Capital,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other Borrowings,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.65,
Other Liabilities,331.80,51.02,48.37,61.78,78.37,94.17,83.16,83.15,47.74,69.06
  └─ Trade Payables,104,2,0,0,0,0,0,0,0,0
  └─ Advance from Customers,72,1,0,0,0,0,0,1,1,
  └─ Other liability items,156,48,48,61,78,94,83,82,47,69
Total Liabilities,455.12,88.89,37.97,32.89,31.59,30.71,30.36,27.36,33.14,33.47
Fixed Assets,0.49,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.00
  └─ Plant Machinery,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Equipments,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,
  └─ Computers,0.27,0.06,0.04,0.04,0.04,0.03,0.02,0.01,0.01,
  └─ Furniture n fittings,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.00,0.00,
  └─ Vehicles,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Other fixed assets,0.14,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,
  └─ Gross Block,1.13,0.12,0.09,0.09,0.09,0.08,0.08,0.03,0.02,
  └─ Accumulated Depreciation,0.64,0.10,0.09,0.09,0.09,0.07,0.07,0.03,0.02,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,25.07,79.81,31.36,26.69,26.61,25.56,25.53,22.02,0.00,0.00
Other Assets,429.56,9.07,6.60,6.19,4.98,5.15,4.82,5.34,33.14,33.47
  └─ Inventories,362.84,4.99,3.78,3.92,4.33,4.33,3.40,2.48,0.64,0.32
  └─ Trade receivables,24.31,2.86,1.34,0.81,0.41,0.40,0.75,0.24,0.17,0.17
    └─ Receivables over 6m,16.66,0.00,0.00,0.00,0.00,0.40,0.40,0.24,0.17,
    └─ Receivables under 6m,7.65,2.86,1.34,0.81,0.41,0.00,0.35,0.00,0.00,
  └─ Cash Equivalents,2.49,0.51,0.39,0.96,0.04,0.27,0.13,1.93,30.87,27.20
  └─ Loans n Advances,16.37,0.02,0.23,0.07,0.10,0.05,0.01,0.02,0.11,0.00
  └─ Other asset items,23.55,0.69,0.86,0.43,0.10,0.10,0.53,0.67,1.35,5.78
Total Assets,455.12,88.89,37.97,32.89,31.59,30.71,30.36,27.36,33.14,33.47
