Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2023
Equity Capital,18.81,18.81,18.81,18.81,18.81,18.81,18.81,18.81,18.81
Reserves,224.47,255.51,275.77,298.92,326.25,349.10,14.76,16.45,16.25
Borrowings,363.37,351.05,224.31,137.12,101.81,109.55,23.06,49.50,47.80
  └─ Long term Borrowings,71.32,66.51,64.89,50.30,35.89,23.07,18.68,46.13,44.92
  └─ Short term Borrowings,262.05,265.84,144.41,70.28,48.88,85.69,0.00,0.00,0.00
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.80,4.39,3.37,2.88
  └─ Other Borrowings,30.00,18.70,15.01,16.54,17.04,-0.01,-0.01,0.00,
Other Liabilities,172.21,197.02,316.44,349.38,257.80,364.11,15.79,11.81,12.71
  └─ Non controlling int,0.00,-0.02,-0.19,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Trade Payables,133.95,147.31,268.34,290.20,206.18,319.73,2.82,1.07,2.71
  └─ Advance from Customers,0.00,0.01,3.86,3.58,4.86,3.25,0.44,0.75,
  └─ Other liability items,38.26,49.72,44.43,55.60,46.76,41.13,12.53,9.99,10.00
Total Liabilities,778.86,822.39,835.33,804.23,704.67,841.57,72.42,96.57,95.57
Fixed Assets,206.03,224.74,246.71,259.37,248.19,240.45,43.95,46.94,45.86
  └─ Land,28.73,15.91,16.08,16.08,16.08,16.08,1.32,1.32,
  └─ Building,78.19,67.30,68.10,73.19,73.96,73.50,10.98,14.74,
  └─ Plant Machinery,154.74,117.10,152.07,170.38,169.40,172.06,19.11,20.62,
  └─ Equipments,6.73,6.45,7.63,8.80,9.24,9.43,0.38,0.41,
  └─ Computers,1.18,0.24,0.37,0.53,0.62,0.74,0.06,0.11,
  └─ Furniture n fittings,21.27,15.07,16.62,18.51,18.23,18.71,3.59,3.79,
  └─ Vehicles,4.73,2.24,2.29,2.73,2.23,1.58,0.06,0.13,
  └─ Intangible Assets,0.41,0.50,0.50,0.71,0.71,0.00,0.00,0.00,0.00
  └─ Other fixed assets,0.45,13.07,13.13,15.11,15.10,15.11,12.82,12.81,
  └─ Gross Block,296.43,237.88,276.79,306.04,305.57,307.21,48.32,53.93,
  └─ Accumulated Depreciation,90.41,13.15,30.09,46.67,57.39,66.76,4.37,6.99,
CWIP,3.73,14.01,4.10,0.24,0.00,0.00,0.09,0.00,0.12
Investments,2.61,2.35,2.39,2.42,2.42,2.46,2.43,2.26,0.00
Other Assets,566.49,581.29,582.13,542.20,454.06,598.66,25.95,47.37,49.59
  └─ Inventories,100.08,173.56,159.11,162.25,152.29,228.64,7.77,7.88,23.71
  └─ Trade receivables,373.83,339.75,333.60,301.34,228.87,280.26,8.33,15.13,14.52
  └─ Cash Equivalents,27.78,15.82,16.97,18.84,15.20,7.95,0.51,11.04,3.05
  └─ Loans n Advances,1.91,3.14,3.95,4.26,8.37,6.27,3.95,9.39,0.36
  └─ Other asset items,62.89,49.02,68.50,55.51,49.33,75.54,5.39,3.93,7.95
Total Assets,778.86,822.39,835.33,804.23,704.67,841.57,72.42,96.57,95.57
