Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Sep 2020
Equity Capital,3,3,3,3,3,3,3,3,3,3,3,
Reserves,1244,1545,1819,1994,2122,2303,2774,3096,3294,3537,3762,
Borrowings,0,0,0,0,0,0,0,0,0,0,0,
Other Liabilities,2,5,3,5,4,2,1,1,1,1,4,
  └─ Other liability items,1.96,4.75,3.00,5.48,4.08,1.55,0.69,1.11,0.59,0.53,3.55,1.79
Total Liabilities,1249,1553,1825,2003,2130,2307,2778,3101,3298,3541,3769,
Fixed Assets,1,1,3,3,3,3,3,3,3,3,3,
  └─ Land,0.01,0.01,2.63,2.66,2.84,2.84,2.84,2.84,2.84,2.84,,
  └─ Building,0.91,0.91,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,,
  └─ Equipments,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
  └─ Vehicles,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
  └─ Other fixed assets,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,,
  └─ Gross Block,1.14,0.93,3.04,3.06,3.25,3.25,3.25,3.25,3.25,3.25,,
  └─ Accumulated Depreciation,0.17,0.11,0.01,0.02,0.03,0.04,0.04,0.05,0.06,0.06,,
CWIP,0,0,0,0,0,0,0,0,0,0,0,
Investments,1240,1506,1776,1952,1979,2167,2738,3065,3270,3528,3758,
Other Assets,9,46,46,48,147,137,36,32,25,10,8,
  └─ Trade receivables,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.13
  └─ Cash Equivalents,0.62,1.31,1.68,2.34,4.81,76.49,2.74,4.01,3.83,1.52,1.50,3.84
  └─ Loans n Advances,0.00,37.17,0.00,0.00,0.04,0.04,1.11,3.15,5.39,3.79,0.00,0.00
  └─ Other asset items,7.94,7.80,44.04,45.37,142.33,60.83,32.60,25.25,15.82,4.70,6.53,138.34
Total Assets,1249,1553,1825,2003,2130,2307,2778,3101,3298,3541,3769,
