Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,563,563,563,564,564,564,564,564,564,564,564,564,564
Reserves,2823,3217,3423,3962,1865,2731,4320,5827,7355,8885,10261,11082,11377
Borrowings,1429,1157,1067,2989,5386,4579,3629,2003,713,149,140,138,140
  └─ Long term Borrowings,1037,888,790,2793,3972,3375,2378,1095,391,0,0,0,0
  └─ Short term Borrowings,0,0,0,7,1,0,0,829,178,0,0,0,0
  └─ Lease Liabilities,0,0,0,0,0,0,0,80,144,149,140,138,140
  └─ Other Borrowings,392,270,277,190,1412,1204,1250,0,0,0,0,0,
Other Liabilities,811,931,785,4293,4148,4587,4837,5775,6662,7718,8091,9023,9843
  └─ Non controlling int,123,161,0,1235,855,1011,1520,2068,2599,3239,3558,3909,4005
  └─ Trade Payables,16,41,15,321,302,362,369,485,492,742,714,783,689
  └─ Advance from Customers,11,9,10,0,0,0,0,0,0,0,0,0,
  └─ Other liability items,660,720,760,2737,2991,3215,2948,3222,3572,3736,3820,4331,5149
Total Liabilities,5625,5868,5838,11808,11963,12461,13350,14169,15294,17316,19056,20807,21923
Fixed Assets,3205,3169,3123,8069,8208,8897,9256,9497,9946,10481,10779,11695,11636
  └─ Land,138,190,112,538,541,543,626,632,640,651,654,644,
  └─ Building,189,200,141,344,362,403,430,450,473,486,522,537,
  └─ Plant Machinery,4025,4088,2809,7867,8356,9368,10056,10719,11575,12568,13353,14761,
  └─ Ships Vessels,0,0,0,0,0,0,0,0,0,0,0,0,
  └─ Equipments,97,105,45,71,72,78,83,85,87,90,92,148,
  └─ Computers,8,9,2,35,36,50,51,53,51,57,65,67,
  └─ Furniture n fittings,130,140,62,96,101,125,138,142,149,151,161,163,
  └─ Vehicles,7,7,1,13,12,11,24,37,107,125,136,142,
  └─ Intangible Assets,152,172,132,400,0,0,0,0,0,0,0,0,711
  └─ Other fixed assets,12,13,2,82,535,589,621,670,719,818,913,1032,
  └─ Gross Block,4758,4926,3306,9445,10015,11167,12029,12789,13801,14946,15897,17494,
  └─ Accumulated Depreciation,1552,1756,183,1376,1807,2269,2773,3292,3854,4466,5118,5799,
CWIP,804,949,768,1192,1374,908,807,953,1245,1409,1680,1121,1134
Investments,543,633,723,469,590,696,1023,1457,1670,1621,1889,1792,1772
Other Assets,1073,1117,1224,2079,1790,1960,2264,2262,2433,3805,4708,6198,7381
  └─ Inventories,69,110,118,154,180,197,172,182,242,273,269,319,321
  └─ Trade receivables,249,150,152,456,502,700,655,959,1039,1141,1148,1118,1028
    └─ Receivables over 6m,164,153,0,0,0,0,0,0,0,71,115,72,
    └─ Receivables under 6m,88,0,154,464,510,710,666,971,1054,1092,1033,1046,
    └─ Prov for Doubtful,-3,-3,-3,-8,-8,-9,-10,-12,-16,-22,0,0,
  └─ Cash Equivalents,544,467,553,867,505,471,790,409,108,1373,1400,2290,2555
  └─ Loans n Advances,11,3,2,22,26,27,54,49,36,40,36,31,448
  └─ Other asset items,199,386,399,579,578,563,593,663,1007,978,1855,2441,3028
Total Assets,5625,5868,5838,11808,11963,12461,13350,14169,15294,17316,19056,20807,21923
