Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Equity Capital,5.61,5.61,5.61,11.22,33.67,33.67,33.67,33.67
Reserves,32.40,32.56,33.66,28.25,4.50,4.52,5.20,4.99
Borrowings,1.19,1.22,3.91,3.85,3.89,4.14,6.25,0.25
  └─ Long term Borrowings,0.38,0.36,3.05,3.03,3.29,3.33,6.12,0.00
  └─ Short term Borrowings,0.81,0.84,0.83,0.82,0.60,0.79,0.13,0.25
  └─ Other Borrowings,0.00,0.02,0.03,0.00,0.00,0.02,0.00,
Other Liabilities,1.18,1.07,0.63,0.60,0.99,0.80,1.70,8.00
  └─ Trade Payables,1.06,0.90,0.42,0.54,0.84,0.70,0.80,0.73
  └─ Advance from Customers,0.01,0.06,0.12,0.00,0.00,0.00,0.00,
  └─ Other liability items,0.11,0.11,0.09,0.06,0.15,0.10,0.90,7.27
Total Liabilities,40.38,40.46,43.81,43.92,43.05,43.13,46.82,46.91
Fixed Assets,0.09,0.11,0.10,0.09,0.03,0.02,0.02,0.02
  └─ Equipments,0.04,0.02,0.02,0.02,0.02,0.02,0.01,
  └─ Computers,0.06,0.05,0.05,0.05,0.05,0.05,0.05,
  └─ Furniture n fittings,0.09,0.07,0.08,0.08,0.08,0.08,0.08,
  └─ Vehicles,0.00,0.08,0.08,0.08,0.00,0.00,0.00,
  └─ Other fixed assets,0.00,0.01,0.01,0.01,0.02,0.01,0.01,
  └─ Gross Block,0.19,0.23,0.24,0.24,0.17,0.16,0.15,
  └─ Accumulated Depreciation,0.11,0.12,0.14,0.15,0.14,0.14,0.13,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,30.00,30.60,33.84,34.09,32.68,32.37,33.86,33.68
Other Assets,10.29,9.75,9.87,9.74,10.34,10.74,12.94,13.21
  └─ Inventories,1.73,1.46,1.17,1.39,1.13,1.14,1.20,0.79
  └─ Trade receivables,2.18,1.86,1.49,1.22,1.24,1.38,0.52,0.85
    └─ Receivables over 6m,0.08,0.13,0.27,1.22,0.35,0.49,0.35,
    └─ Receivables under 6m,2.10,1.74,1.23,0.00,0.89,0.89,0.16,
  └─ Cash Equivalents,0.07,0.21,0.07,0.03,0.07,0.27,0.34,0.46
  └─ Loans n Advances,0.00,0.01,0.01,0.04,0.00,0.03,0.28,0.03
  └─ Other asset items,6.31,6.21,7.13,7.06,7.90,7.92,10.60,11.08
Total Assets,40.38,40.46,43.81,43.92,43.05,43.13,46.82,46.91
