Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022,Mar 2016
Equity Capital,13.30,28.79,28.79,28.79,28.79,28.79,28.79,
Reserves,79.08,114.36,123.28,133.46,146.40,142.35,145.69,
Borrowings,0.00,0.00,0.00,6.11,0.00,0.00,0.45,
  └─ Long term Borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103.39
  └─ Short term Borrowings,0.00,0.00,0.00,6.11,0.00,0.00,0.45,0.11
Other Liabilities,25.39,23.18,8.70,7.81,7.24,6.41,14.07,
  └─ Trade Payables,24.77,22.68,7.42,4.27,6.83,6.18,13.54,2.42
  └─ Advance from Customers,-0.00,-0.00,0.01,0.01,0.01,0.01,,
  └─ Other liability items,0.62,0.50,1.27,3.53,0.40,0.22,0.53,0.54
Total Liabilities,117.77,166.33,160.77,176.17,182.43,177.55,189.00,
Fixed Assets,38.80,84.50,80.59,78.50,95.63,84.25,90.47,
  └─ Land,8.11,8.11,8.11,8.11,19.59,19.59,,
  └─ Building,6.78,20.73,20.77,22.68,25.13,25.86,,
  └─ Plant Machinery,83.81,117.66,118.06,118.72,126.37,115.49,,
  └─ Equipments,0.16,0.23,0.23,0.23,0.24,0.25,,
  └─ Computers,0.26,0.26,0.28,0.29,0.30,0.35,,
  └─ Furniture n fittings,0.60,1.67,1.79,1.85,2.52,3.42,,
  └─ Vehicles,2.22,2.22,2.25,2.20,2.20,2.20,,
  └─ Other fixed assets,0.01,0.01,-0.00,0.01,0.01,-0.00,,
  └─ Gross Block,101.95,150.89,151.49,154.09,176.36,167.16,,
  └─ Accumulated Depreciation,63.15,66.40,70.91,75.59,80.72,82.91,,
CWIP,0.02,0.10,10.91,12.21,5.88,9.71,10.31,
Investments,0.07,0.01,0.00,0.00,0.00,0.00,0.00,
Other Assets,78.88,81.72,69.27,85.46,80.92,83.59,88.22,
  └─ Inventories,10.46,15.36,16.48,29.92,22.68,24.92,27.28,7.50
  └─ Trade receivables,39.69,53.56,42.30,36.67,40.38,41.43,42.07,5.25
  └─ Cash Equivalents,21.51,4.64,3.64,8.47,6.95,6.57,6.78,6.42
  └─ Loans n Advances,0.27,0.21,0.00,2.10,0.29,0.35,0.00,1.73
  └─ Other asset items,6.95,7.95,6.85,8.30,10.62,10.32,12.09,0.01
Total Assets,117.77,166.33,160.77,176.17,182.43,177.55,189.00,
