Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,15,15,20,20,22,22,23
Reserves,3,5,5,22,45,100,113,169
Borrowings,9,11,13,11,10,7,13,36
  └─ Long term Borrowings,8.71,10.37,9.39,7.86,6.38,5.65,10.69,18.16
  └─ Short term Borrowings,0.00,0.25,3.95,2.84,3.28,0.61,1.91,18.00
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.27,0.17,0.00
  └─ Other Borrowings,0.00,0.00,0.00,-0.01,-0.01,0.00,0.00,
Other Liabilities,7,2,3,1,2,4,25,21
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.00,0.00,6.59,7.31
  └─ Trade Payables,6.01,1.44,2.20,0.64,1.09,2.77,7.37,7.43
  └─ Other liability items,0.97,0.89,1.01,0.76,0.87,0.78,10.93,6.68
Total Liabilities,33,32,36,54,76,132,173,250
Fixed Assets,16,15,14,13,15,23,34,55
  └─ Land,0.00,0.00,0.00,0.00,0.66,0.73,1.60,
  └─ Building,13.14,12.16,12.43,12.43,13.21,14.95,15.79,
  └─ Plant Machinery,4.67,5.61,5.68,6.33,7.43,15.23,19.39,
  └─ Equipments,0.00,0.00,0.00,0.00,0.00,0.00,10.05,
  └─ Computers,0.07,0.13,0.14,0.14,0.14,0.16,0.23,
  └─ Furniture n fittings,1.53,1.56,1.57,1.57,1.62,1.94,2.41,
  └─ Vehicles,0.84,1.53,1.53,1.53,1.53,1.53,1.53,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.75
  └─ Other fixed assets,0.00,0.00,-0.01,0.00,0.01,0.00,0.38,
  └─ Gross Block,20.25,20.99,21.34,22.00,24.60,34.54,51.98,
  └─ Accumulated Depreciation,3.76,5.54,7.22,8.67,10.03,12.00,17.66,
CWIP,0,0,0,0,0,0,2,11
Investments,1,0,1,1,1,1,1,1
Other Assets,16,17,21,40,61,109,136,184
  └─ Inventories,7,8,9,11,25,69,37,26
  └─ Trade receivables,8,2,1,0,4,11,23,49
  └─ Cash Equivalents,0,0,1,21,3,6,15,28
  └─ Loans n Advances,0,1,9,5,25,0,0,21
  └─ Other asset items,1,5,2,3,3,23,61,60
Total Assets,33,32,36,54,76,132,173,250
