Metric,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2026
Equity Capital,16,16,16,16,28,28,28,28,28,28,28,28
Reserves,62,62,58,54,181,179,104,31,101,83,72,170
Borrowings,100,140,129,93,361,392,419,155,122,120,110,0
  └─ Long term Borrowings,51.73,42.42,48.16,37.38,61.12,59.98,49.90,30.96,23.04,19.93,30.78,0.00
  └─ Short term Borrowings,41.01,85.21,61.61,55.24,269.24,310.87,354.25,108.71,83.54,85.06,63.96,0.00
  └─ Preference Capital,0.00,0.00,0.00,0.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,0.00
  └─ Other Borrowings,7.18,12.59,19.44,0.69,15.81,5.69,-0.01,0.01,0.00,0.00,0.00,
Other Liabilities,67,60,49,80,119,150,208,63,38,29,23,29
  └─ Trade Payables,40.61,29.04,27.93,35.32,31.69,76.22,42.99,32.16,12.00,7.47,2.33,7.11
  └─ Advance from Customers,0.10,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Other liability items,26.07,30.79,21.45,44.38,87.72,74.28,165.28,30.35,26.18,21.31,20.35,22.13
Total Liabilities,244,279,253,243,689,749,759,276,288,260,233,227
Fixed Assets,115,116,114,106,298,343,405,88,64,60,50,49
  └─ Land,3.47,3.47,3.48,3.48,5.29,5.29,5.29,5.29,4.97,4.97,5.46,
  └─ Building,34.14,34.14,34.32,34.53,41.49,42.21,47.14,47.14,40.33,40.39,40.39,
  └─ Plant Machinery,122.62,131.90,139.44,141.36,407.92,481.95,576.67,156.40,106.76,106.97,80.80,
  └─ Equipments,2.13,2.43,2.44,1.89,6.24,6.86,6.91,5.33,4.81,4.83,4.83,
  └─ Furniture n fittings,7.19,7.24,7.34,8.10,9.29,8.57,10.06,0.61,0.50,0.50,0.49,
  └─ Vehicles,1.29,1.40,1.43,1.49,4.52,4.89,3.42,1.41,0.82,0.70,0.70,
  └─ Intangible Assets,2.95,2.95,2.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
  └─ Other fixed assets,0.25,0.24,0.34,2.50,18.21,18.10,0.70,0.36,0.37,0.37,0.03,
  └─ Gross Block,174.04,183.77,191.72,193.35,492.96,567.87,650.19,216.54,158.56,158.73,132.70,
  └─ Accumulated Depreciation,58.68,68.14,77.49,87.63,194.76,224.63,245.34,128.85,94.78,98.85,83.20,
CWIP,5,0,0,0,20,2,1,1,1,1,2,1
Investments,0,0,0,1,12,4,3,1,40,29,0,32
Other Assets,123,163,138,137,359,400,350,187,184,170,181,145
  └─ Inventories,58,78,60,62,231,262,253,139,134,122,113,109
  └─ Trade receivables,9,22,24,25,47,57,51,8,10,9,3,2
  └─ Cash Equivalents,7,5,5,5,7,5,4,4,2,1,1,5
  └─ Loans n Advances,1,0,0,17,39,46,10,1,0,0,0,7
  └─ Other asset items,48,57,49,27,35,30,32,35,38,36,64,21
Total Assets,244,279,253,243,689,749,759,276,288,260,233,227
