Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3,3,3,3,3,3,3,3,3,3,3
Reserves,94,101,111,124,144,161,173,184,200,213,271
Borrowings,27,21,18,13,26,12,17,5,32,73,174
  └─ Long term Borrowings,0,0,0,1,0,0,0,0,0,2,2
  └─ Short term Borrowings,26,21,18,12,25,12,17,5,32,71,172
  └─ Other Borrowings,1,0,0,0,0,0,0,0,0,0,
Other Liabilities,23,19,19,22,18,26,21,29,36,30,54
  └─ Non controlling int,0.10,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Trade Payables,3.78,4.51,3.76,5.99,4.72,5.89,6.69,9.16,9.89,9.64,15.58
  └─ Advance from Customers,6.80,3.20,4.80,3.75,5.11,8.00,4.11,7.72,13.57,6.76,
  └─ Other liability items,12.72,11.63,10.72,12.15,8.23,12.51,10.18,12.53,12.65,13.48,38.07
Total Liabilities,148,145,152,162,191,203,214,222,271,319,503
Fixed Assets,57,61,60,60,58,62,70,69,79,92,94
  └─ Land,0.94,0.94,0.94,0.94,0.94,7.39,13.96,14.17,14.30,14.30,
  └─ Building,15.47,20.10,14.12,14.54,15.80,15.80,16.25,17.38,26.63,35.89,
  └─ Plant Machinery,85.94,90.85,47.48,50.95,58.59,62.22,65.79,68.98,74.92,83.52,
  └─ Equipments,1.32,1.42,0.37,0.47,0.76,0.95,0.95,1.12,1.25,1.40,
  └─ Computers,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.37,0.49,0.68,
  └─ Furniture n fittings,1.17,1.20,0.32,0.34,0.49,0.68,0.90,0.93,1.13,1.46,
  └─ Vehicles,2.62,2.62,0.79,2.38,2.80,2.79,3.97,3.80,3.80,6.75,
  └─ Intangible Assets,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29
  └─ Other fixed assets,0.91,0.96,2.55,2.64,2.75,2.79,4.34,4.34,4.33,4.35,
  └─ Gross Block,108.45,118.17,66.57,72.26,82.13,92.62,106.50,111.09,126.85,148.35,
  └─ Accumulated Depreciation,51.04,57.41,6.39,12.54,24.30,30.29,36.67,42.55,48.32,56.28,
CWIP,2,1,1,1,3,3,3,10,10,4,3
Investments,0,0,0,0,2,2,2,2,2,0,0
Other Assets,89,83,91,102,128,135,140,141,181,224,405
  └─ Inventories,45,40,42,47,61,60,65,79,96,127,220
  └─ Trade receivables,31,29,39,42,45,60,58,53,66,86,160
  └─ Cash Equivalents,2,2,2,2,3,0,5,1,1,1,1
  └─ Loans n Advances,1,1,0,0,2,0,0,1,1,1,1
  └─ Other asset items,10,10,8,10,18,15,12,8,16,7,22
Total Assets,148,145,152,162,191,203,214,222,271,319,503
