Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,16,16,16,16,17,17,17,17,17,17,17,17,17
Reserves,480,479,505,718,885,602,493,415,348,23,-22,-52,-65
Borrowings,958,1076,1015,1011,1149,1280,1268,326,359,379,377,376,384
  └─ Long term Borrowings,420,483,257,453,325,425,470,58,61,62,64,64,63
  └─ Short term Borrowings,375,389,408,381,385,332,419,268,298,316,313,313,321
  └─ Preference Capital,64,64,64,0,325,325,325,0,0,0,0,0,0
  └─ Other Borrowings,99,139,286,176,114,198,943,0,0,-0,0,0,
Other Liabilities,404,327,519,317,343,431,432,532,543,658,579,580,588
  └─ Non controlling int,0,0,0,0,12,0,0,0,0,0,0,0,0
  └─ Trade Payables,190,189,167,179,202,294,226,34,42,55,44,39,46
  └─ Advance from Customers,0,0,0,0,0,0,14,0,0,0,0,0,
  └─ Other liability items,213,139,352,138,129,136,192,498,501,603,535,540,542
Total Liabilities,1858,1898,2055,2062,2394,2329,2210,1289,1266,1076,950,921,924
Fixed Assets,808,813,814,879,1035,965,1045,502,520,436,418,408,393
  └─ Land,129,129,129,154,215,152,150,155,155,110,110,110,
  └─ Building,171,176,211,146,217,227,249,135,136,121,121,123,
  └─ Plant Machinery,999,1042,1078,357,361,394,449,238,253,266,267,274,
  └─ Equipments,22,23,25,12,13,20,22,36,46,33,33,33,
  └─ Computers,31,32,34,4,5,6,7,8,8,5,5,6,
  └─ Furniture n fittings,30,31,31,8,13,13,13,17,21,18,18,19,
  └─ Vehicles,7,7,7,3,4,5,5,5,5,5,5,5,
  └─ Intangible Assets,0,0,0,232,301,341,380,172,178,181,181,183,148
  └─ Other fixed assets,137,159,147,-0,0,0,0,0,0,0,0,0,
  └─ Gross Block,1526,1599,1663,916,1129,1157,1274,766,802,740,742,752,
  └─ Accumulated Depreciation,718,786,849,37,93,192,229,264,283,304,324,344,
CWIP,38,90,94,76,65,122,89,60,40,21,21,17,21
Investments,0,3,3,3,3,3,86,199,199,199,168,168,168
Other Assets,1011,992,1144,1104,1290,1239,990,529,507,421,343,328,342
  └─ Inventories,447,431,502,484,540,564,502,256,241,161,64,59,53
  └─ Trade receivables,348,330,326,200,275,356,249,108,87,74,83,74,89
  └─ Cash Equivalents,35,27,31,55,99,95,50,6,7,4,2,1,1
  └─ Loans n Advances,13,12,3,64,90,65,68,47,69,67,61,73,50
  └─ Other asset items,169,193,282,300,286,159,120,112,102,115,133,121,149
Total Assets,1858,1898,2055,2062,2394,2329,2210,1289,1266,1076,950,921,924
