Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,11,12,12
Reserves,17,20,32,45
Borrowings,1,1,1,0
  └─ Long term Borrowings,0.32,0.62,0.57,0.08
  └─ Short term Borrowings,0.91,0.81,0.04,0.00
  └─ Other Borrowings,0.01,-0.01,0.00,
Other Liabilities,6,7,10,18
  └─ Non controlling int,0.00,0.21,0.33,0.46
  └─ Trade Payables,1.81,1.30,3.96,2.69
  └─ Advance from Customers,0.16,0.00,0.00,
  └─ Other liability items,3.53,5.26,5.44,15.01
Total Liabilities,29,39,54,75
Fixed Assets,7,7,7,6
  └─ Plant Machinery,0.02,0.02,1.39,
  └─ Equipments,5.21,6.15,6.38,
  └─ Computers,0.23,0.25,0.29,
  └─ Furniture n fittings,4.03,4.59,5.07,
  └─ Vehicles,1.18,0.52,0.17,
  └─ Other fixed assets,0.00,0.16,0.16,
  └─ Gross Block,10.67,11.69,13.46,
  └─ Accumulated Depreciation,3.38,4.66,6.67,
CWIP,0,0,0,0
Investments,2,8,9,0
Other Assets,20,24,38,69
  └─ Inventories,4.03,3.40,3.35,2.53
  └─ Trade receivables,4.97,6.68,10.24,22.16
  └─ Cash Equivalents,0.21,2.44,7.85,20.72
  └─ Loans n Advances,0.00,0.00,0.09,22.33
  └─ Other asset items,10.56,11.44,16.48,1.09
Total Assets,29,39,54,75
