Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2021,Mar 2022,Mar 2023,Sep 2023
Equity Capital,8.10,17.01,17.01,17.01,17.01,17.01,17.01
Reserves,0.62,133.73,133.61,12.96,13.41,12.92,12.55
Borrowings,1.15,0.00,31.62,0.14,0.00,0.02,0.00
  └─ Long term Borrowings,0.00,0.00,31.62,0.00,0.00,0.00,0.00
  └─ Short term Borrowings,1.15,0.00,0.00,0.14,0.00,0.02,0.00
Other Liabilities,0.12,1.23,7.41,1.08,0.83,10.84,10.52
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.04,9.50,9.59
  └─ Trade Payables,0.00,1.19,0.49,0.07,0.44,0.56,0.15
  └─ Other liability items,0.12,0.04,6.92,1.01,0.35,0.78,0.78
Total Liabilities,9.99,151.97,189.65,31.19,31.25,40.79,40.08
Fixed Assets,1.08,117.86,156.27,30.52,28.81,30.15,29.32
  └─ Land,1.02,117.61,117.61,1.02,1.02,1.02,
  └─ Building,0.00,0.00,20.79,10.28,10.31,12.33,
  └─ Plant Machinery,0.23,0.00,0.00,0.00,0.00,0.03,
  └─ Equipments,0.05,0.07,0.07,0.17,0.18,0.22,
  └─ Computers,0.00,0.47,0.57,0.61,0.62,0.62,
  └─ Furniture n fittings,0.09,0.07,18.37,0.14,0.14,0.14,
  └─ Vehicles,0.00,0.00,0.16,0.74,0.53,0.54,
  └─ Intangible Assets,0.00,0.00,0.00,21.95,0.01,0.01,0.00
  └─ Other fixed assets,0.00,0.00,0.00,0.02,20.26,22.53,
  └─ Gross Block,1.39,118.22,157.57,34.93,33.07,37.44,
  └─ Accumulated Depreciation,0.31,0.36,1.30,4.41,4.26,7.29,
CWIP,4.87,9.76,10.14,0.00,0.00,0.00,0.00
Investments,0.00,3.79,3.91,0.00,1.00,9.05,9.79
Other Assets,4.04,20.56,19.33,0.67,1.44,1.59,0.97
  └─ Inventories,2.21,13.15,12.34,0.00,0.00,0.00,0.00
  └─ Trade receivables,1.15,4.72,5.39,0.24,0.77,0.45,0.38
  └─ Cash Equivalents,0.35,2.20,0.46,0.28,0.51,0.74,0.38
  └─ Loans n Advances,0.00,0.48,0.98,0.09,0.11,0.13,0.11
  └─ Other asset items,0.33,0.01,0.16,0.06,0.05,0.27,0.10
Total Assets,9.99,151.97,189.65,31.19,31.25,40.79,40.08
