Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,2,2,2,2,2,2,2,2,2,2,2,2,
Reserves,98,105,110,120,128,136,141,160,187,210,242,252,
Borrowings,0,0,0,0,0,0,1,1,0,0,1,0,
  └─ Short term Borrowings,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.20,0.00,
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,
Other Liabilities,35,37,33,38,50,45,41,41,40,44,56,52,
  └─ Trade Payables,17.63,20.72,14.06,19.34,24.43,21.82,24.96,23.15,23.53,25.27,31.01,32.66,
  └─ Advance from Customers,2.06,2.63,1.04,1.40,4.85,3.98,3.52,3.62,1.67,1.90,1.54,,
  └─ Other liability items,15.72,13.22,17.60,17.57,20.25,19.32,12.13,14.14,14.69,16.47,23.36,18.88,
Total Liabilities,135,144,145,160,180,183,185,204,229,256,301,306,
Fixed Assets,57,58,61,57,55,54,56,54,56,58,100,106,
  └─ Land,1.07,1.04,1.04,1.16,1.20,1.28,1.28,1.26,1.26,1.26,1.39,,
  └─ Building,18.58,18.57,18.87,19.30,20.19,20.76,26.32,26.28,26.65,27.42,29.59,,
  └─ Plant Machinery,66.21,73.39,80.74,84.50,89.06,95.83,100.72,106.51,115.14,122.53,133.75,,
  └─ Equipments,6.61,7.67,8.98,9.13,9.61,9.99,10.13,10.15,10.16,10.46,11.20,,
  └─ Furniture n fittings,2.27,2.50,2.65,2.87,3.06,3.11,3.14,3.00,3.04,3.32,3.35,,
  └─ Vehicles,1.73,1.66,1.92,2.21,2.81,2.36,1.95,2.11,2.25,2.13,2.34,,
  └─ Intangible Assets,1.89,2.02,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,38.51,32.02,
  └─ Other fixed assets,2.10,2.19,2.71,3.23,3.25,3.60,3.71,3.69,3.75,3.87,4.67,,
  └─ Gross Block,100.46,109.04,120.34,125.83,132.61,140.36,150.68,156.43,165.68,174.42,224.80,,
  └─ Accumulated Depreciation,43.81,51.31,59.12,68.99,77.42,86.28,94.54,102.28,109.39,115.94,124.55,,
CWIP,2,6,2,2,5,4,1,1,2,2,10,3,
Investments,21,14,15,22,36,36,37,64,71,73,52,47,
Other Assets,55,66,67,79,84,89,90,85,100,122,139,149,
  └─ Inventories,19,20,21,21,25,28,25,28,34,36,37,53,
  └─ Trade receivables,23,31,31,37,30,26,36,34,40,54,68,54,
    └─ Receivables over 6m,1,0,0,0,0,0,0,0,2,2,5,,1
    └─ Receivables under 6m,23,32,31,37,31,26,37,35,39,52,64,,21
    └─ Prov for Doubtful,-1,-1,0,-0,-0,-1,-0,-0,-1,-1,-1,,-1
  └─ Cash Equivalents,4,5,7,12,18,22,15,14,13,18,19,28,
  └─ Loans n Advances,2,2,2,3,4,3,3,2,3,3,7,1,
  └─ Other asset items,7,7,6,5,7,10,11,6,9,11,8,12,
Total Assets,135,144,145,160,180,183,185,204,229,256,301,306,
