Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,27,31,31,31,31,31,31
Reserves,198,446,489,589,646,698,792
Borrowings,29,17,96,143,191,177,377
  └─ Long term Borrowings,0,7,26,78,97,81,148
  └─ Short term Borrowings,0,10,70,66,94,96,222
  └─ Lease Liabilities,0,0,0,0,0,0,7
  └─ Other Borrowings,29,0,-0,0,0,0,
Other Liabilities,92,93,112,300,140,224,544
  └─ Trade Payables,31,35,57,218,62,106,150
  └─ Advance from Customers,44,37,31,45,30,43,
  └─ Other liability items,18,21,24,37,47,75,394
Total Liabilities,346,586,728,1063,1008,1130,1743
Fixed Assets,155,167,196,291,341,439,514
  └─ Land,46.71,46.71,46.71,51.12,65.70,65.70,
  └─ Building,29.25,41.78,44.85,73.29,82.83,101.31,
  └─ Plant Machinery,117.79,127.61,165.72,236.11,277.56,380.45,
  └─ Equipments,0.63,0.75,0.97,2.04,3.03,4.69,
  └─ Computers,1.86,2.64,3.47,4.53,5.71,6.55,
  └─ Furniture n fittings,3.53,3.76,4.10,7.06,9.96,12.76,
  └─ Vehicles,0.68,0.68,1.16,1.99,1.99,2.37,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,2.11
  └─ Other fixed assets,2.34,3.38,3.97,4.35,4.85,7.41,
  └─ Gross Block,202.79,227.31,270.95,380.49,451.63,581.24,
  └─ Accumulated Depreciation,47.69,60.25,74.56,89.49,111.09,142.58,
CWIP,12,11,44,64,73,53,34
Investments,0,0,62,27,0,0,215
Other Assets,179,409,425,680,594,638,979
  └─ Inventories,75,103,170,387,348,346,501
  └─ Trade receivables,62,77,136,208,147,210,337
  └─ Cash Equivalents,23,191,67,31,51,17,21
  └─ Loans n Advances,6,7,8,7,10,12,5
  └─ Other asset items,13,31,44,48,39,54,116
Total Assets,346,586,728,1063,1008,1130,1743
