Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,7,24,24,24,24
Reserves,8,66,60,68,75
Borrowings,36,29,26,48,62
  └─ Long term Borrowings,21.45,22.28,16.24,40.31,43.04
  └─ Short term Borrowings,14.87,6.52,9.54,7.83,18.84
  └─ Other Borrowings,-0.00,0.01,-0.00,0.01,
Other Liabilities,30,19,27,41,58
  └─ Non controlling int,0.00,0.00,0.05,0.60,0.60
  └─ Trade Payables,27.42,15.24,22.88,34.96,49.29
  └─ Other liability items,2.90,4.05,4.40,5.79,7.83
Total Liabilities,81,138,137,182,219
Fixed Assets,17,25,43,68,58
  └─ Land,6.50,10.40,10.73,12.37,
  └─ Building,2.65,3.27,19.73,36.64,
  └─ Plant Machinery,4.46,4.92,8.76,18.20,
  └─ Equipments,0.50,0.55,0.08,0.34,
  └─ Computers,0.09,0.21,0.26,0.34,
  └─ Furniture n fittings,1.55,1.81,3.23,3.86,
  └─ Vehicles,1.15,1.58,1.41,1.65,
  └─ Other fixed assets,1.17,4.86,4.06,5.13,
  └─ Gross Block,18.07,27.60,48.26,78.53,
  └─ Accumulated Depreciation,0.70,3.01,5.51,10.39,
CWIP,0,0,0,15,43
Investments,3,15,35,20,13
Other Assets,61,98,60,78,105
  └─ Inventories,9.05,13.47,12.65,13.63,31.78
  └─ Trade receivables,41.73,38.24,39.28,46.99,39.95
    └─ Receivables over 6m,0.00,0.00,9.58,10.07,
    └─ Receivables under 6m,41.73,38.24,29.70,36.92,
  └─ Cash Equivalents,6.24,30.51,0.49,0.82,0.89
  └─ Loans n Advances,0.76,6.72,2.43,7.29,12.39
  └─ Other asset items,3.14,8.79,4.89,9.09,19.89
Total Assets,81,138,137,182,219
