Metric,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Equity Capital,0.40,0.40,86,86
Reserves,339,509,976,1323
Borrowings,27,31,145,143
  └─ Lease Liabilities,27,31,145,143
Other Liabilities,43,64,296,203
  └─ Trade Payables,5,9,59,91
  └─ Advance from Customers,9,7,22,
  └─ Other liability items,29,48,215,112
Total Liabilities,409,603,1504,1755
Fixed Assets,110,117,384,410
  └─ Land,11,11,13,
  └─ Building,81,84,303,
  └─ Plant Machinery,29,29,48,
  └─ Equipments,12,13,39,
  └─ Computers,7,8,10,
  └─ Furniture n fittings,16,19,38,
  └─ Vehicles,3,3,4,
  └─ Intangible Assets,0,0,101,118
  └─ Other fixed assets,8,9,14,
  └─ Gross Block,166,176,569,
  └─ Accumulated Depreciation,55,59,185,
CWIP,0,20,36,59
Investments,0,0,0,0
Other Assets,299,466,1084,1286
  └─ Inventories,0,1,1,3
  └─ Trade receivables,63,108,164,234
  └─ Cash Equivalents,199,238,388,464
  └─ Loans n Advances,4,2,12,108
  └─ Other asset items,32,117,520,477
Total Assets,409,603,1504,1755
