Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,0.42,0.42,0.42,0.42,5.17,7.05,7.05
Reserves,-0.99,-0.53,-0.06,2.93,0.78,11.96,12.47
Borrowings,0.84,1.15,0.99,1.05,0.96,1.34,1.38
  └─ Long term Borrowings,0.01,0.20,0.16,0.12,0.07,0.45,0.41
  └─ Short term Borrowings,0.83,0.63,0.54,0.67,0.66,0.12,0.22
  └─ Lease Liabilities,0.00,0.32,0.30,0.26,0.23,0.77,0.75
  └─ Other Borrowings,0.00,0.00,-0.01,0.00,0.00,0.00,
Other Liabilities,4.71,4.27,3.93,3.73,2.27,3.50,4.96
  └─ Trade Payables,0.73,0.34,0.39,1.06,0.86,0.85,0.84
  └─ Advance from Customers,0.00,0.07,0.09,0.11,0.12,0.23,
  └─ Other liability items,3.98,3.86,3.45,2.56,1.29,2.42,4.12
Total Liabilities,4.98,5.31,5.28,8.13,9.18,23.85,25.86
Fixed Assets,1.46,1.74,1.68,2.46,2.85,7.01,7.37
  └─ Equipments,0.17,0.17,0.17,0.18,0.19,0.29,
  └─ Computers,1.03,1.04,1.04,1.08,1.11,1.20,
  └─ Furniture n fittings,1.76,0.42,0.42,0.45,0.45,0.82,
  └─ Vehicles,0.11,0.01,0.01,0.01,0.11,0.74,
  └─ Other fixed assets,2.17,3.99,4.07,5.05,5.74,9.19,
  └─ Gross Block,5.24,5.63,5.71,6.77,7.60,12.24,
  └─ Accumulated Depreciation,3.77,3.89,4.04,4.32,4.75,5.23,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets,3.52,3.57,3.60,5.67,6.33,16.84,18.49
  └─ Trade receivables,2.59,2.66,2.56,4.47,3.71,4.06,4.77
    └─ Receivables over 6m,2.59,1.15,1.29,0.98,1.17,1.29,
    └─ Receivables under 6m,0.00,1.50,1.26,3.49,2.54,2.77,
  └─ Cash Equivalents,0.08,0.30,0.02,0.02,0.77,10.61,9.36
  └─ Loans n Advances,0.10,0.11,0.11,0.21,0.35,0.39,0.09
  └─ Other asset items,0.75,0.50,0.91,0.97,1.50,1.78,4.27
Total Assets,4.98,5.31,5.28,8.13,9.18,23.85,25.86
