Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,845,845,845,845,845,845
Reserves,31468,33436,12087,14350,12481,21784
Borrowings,7201,2844,11881,8722,10967,8728
  └─ Long term Borrowings,4312,2111,1500,4246,5990,4614
  └─ Short term Borrowings,2865,712,10341,4210,4661,3638
  └─ Lease Liabilities,24,21,40,266,316,476
Other Liabilities,6213,7545,10654,9978,10197,11013
  └─ Trade Payables,1545,2318,2395,2505,2773,3178
  └─ Advance from Customers,1219,252,461,1538,1155,536
  └─ Other liability items,3449,4975,7798,5935,6269,7299
Total Liabilities,45727,44670,35467,33895,34490,42370
Fixed Assets,16808,17396,17622,18151,18608,19937
  └─ Land,331,291,294,516,523,562
  └─ Building,2086,2130,2250,2399,2558,2822
  └─ Plant Machinery,20146,21191,22260,23876,25617,28025
  └─ Equipments,363,393,402,438,410,419
  └─ Furniture n fittings,36,36,36,37,35,36
  └─ Railway sidings,94,94,94,94,94,102
  └─ Vehicles,42,53,52,54,66,61
  └─ Other fixed assets,9208,11190,12801,14574,16516,18474
  └─ Gross Block,32306,35378,38189,41988,45819,50501
  └─ Accumulated Depreciation,15498,17982,20567,23837,27211,30564
CWIP,1922,2075,2237,1696,2606,3409
Investments,12957,15052,10107,10452,9972,14468
Other Assets,14040,10147,5501,3596,3304,4556
  └─ Inventories,1425,1953,1862,1926,1889,2054
  └─ Trade receivables,406,716,380,155,117,399
  └─ Cash Equivalents,9376,5763,1412,175,177,319
  └─ Loans n Advances,119,140,923,97,113,130
  └─ Other asset items,2714,1575,924,1243,1008,1654
Total Assets,45727,44670,35467,33895,34490,42370
