Metric,Mar 2014,Mar 2015,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,26,26,26,26,26,26,26,49
Reserves,300,309,339,456,441,447,467,473
Borrowings,49,63,60,219,298,355,426,443
  └─ Long term Borrowings,6,23,28,154,184,228,278,326
  └─ Short term Borrowings,38,35,33,50,99,106,121,114
  └─ Lease Liabilities,0,0,0,0,0,6,4,4
  └─ Preference Capital,0,0,0,15,15,15,23,0
  └─ Other Borrowings,5,5,0,0,0,0,0,
Other Liabilities,76,87,82,94,179,191,201,198
  └─ Non controlling int,23,23,0,0,0,0,0,0
  └─ Trade Payables,29,41,58,83,155,161,182,171
  └─ Advance from Customers,0,0,0,0,0,0,0,
  └─ Other liability items,23,23,24,11,24,30,18,27
Total Liabilities,451,485,508,794,943,1019,1119,1163
Fixed Assets,175,207,199,398,536,608,628,628
  └─ Land,55.57,54.74,83.73,87.48,87.48,87.70,87.70,
  └─ Building,9.62,9.88,8.25,38.32,41.03,41.55,42.19,
  └─ Plant Machinery,126.44,168.55,154.16,333.13,493.35,583.76,630.20,
  └─ Computers,0.15,0.26,0.60,1.12,1.64,1.81,2.03,
  └─ Furniture n fittings,0.59,0.64,0.99,1.34,2.01,2.11,2.32,
  └─ Vehicles,2.46,2.86,2.21,2.39,3.61,3.71,3.66,
  └─ Other fixed assets,-0.01,0.00,0.00,-0.01,0.00,6.95,6.73,
  └─ Gross Block,194.82,236.93,249.94,463.77,629.12,727.59,774.83,
  └─ Accumulated Depreciation,19.56,29.71,50.53,66.21,93.46,119.40,147.27,
CWIP,12,2,41,58,5,6,22,46
Investments,55,67,73,65,61,65,83,83
Other Assets,209,209,195,273,342,340,386,406
  └─ Inventories,44,58,61,89,161,182,185,202
  └─ Trade receivables,42,51,62,61,82,57,112,119
  └─ Cash Equivalents,7,13,27,48,24,28,30,30
  └─ Loans n Advances,4,3,1,1,3,2,3,0
  └─ Other asset items,112,84,44,74,72,71,57,54
Total Assets,451,485,508,794,943,1019,1119,1163
