Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,79,79,79,79,79,79,79,79,79,79,79,79,79
Reserves,1546,1512,1544,1526,1532,1467,117,-193,-255,-336,-686,-731,-882
Borrowings,1393,1292,1604,1472,1737,1343,1426,947,847,770,541,476,476
  └─ Long term Borrowings,624,804,1159,1178,1059,903,748,281,202,119,54,8,1
  └─ Short term Borrowings,305,197,157,77,280,76,57,54,645,651,487,468,476
  └─ Lease Liabilities,0,0,0,0,0,0,0,0,1,0,1,0,0
  └─ Other Borrowings,464,291,288,218,398,364,621,612,0,0,0,0,
Other Liabilities,3799,4011,4193,3922,4771,4553,6791,6658,6572,6512,6385,6091,6064
  └─ Non controlling int,165,170,166,137,140,136,67,38,30,7,42,38,43
  └─ Trade Payables,801,921,949,862,607,605,647,981,1049,1038,1002,1018,943
  └─ Advance from Customers,2510,2568,2676,2529,2924,2755,5195,4789,4520,4409,4360,4063,
  └─ Other liability items,323,352,402,394,1100,1056,883,851,973,1058,981,973,5079
Total Liabilities,6817,6894,7419,6999,8119,7441,8413,7490,7243,7024,6319,5914,5737
Fixed Assets,266,306,445,505,784,706,680,589,562,676,729,696,678
  └─ Land,20,20,20,20,20,20,16,16,15,15,15,15,
  └─ Building,111,88,90,17,18,15,10,9,5,7,7,7,
  └─ Plant Machinery,110,117,119,42,43,41,37,34,34,34,29,29,
  └─ Equipments,16,19,21,6,6,5,5,3,3,3,1,1,
  └─ Furniture n fittings,3,3,4,7,8,7,10,8,8,8,5,2,
  └─ Vehicles,4,4,6,5,6,7,6,4,4,4,4,4,
  └─ Intangible Assets,70,84,131,211,278,223,237,166,166,172,163,163,163
  └─ Other fixed assets,3,57,154,268,505,504,486,491,490,621,711,711,
  └─ Gross Block,338,394,546,576,883,821,806,732,726,866,935,933,
  └─ Accumulated Depreciation,72,87,101,71,99,116,126,143,165,190,207,237,
CWIP,216,246,204,222,45,59,72,80,96,101,11,11,11
Investments,49,38,12,115,28,70,42,53,49,49,47,47,47
Other Assets,6287,6303,6758,6157,7260,6606,7619,6768,6537,6198,5533,5160,5001
  └─ Inventories,3832,3887,4144,3691,4706,4212,6222,5515,5253,4881,4040,3769,3586
  └─ Trade receivables,583,640,720,672,737,579,243,121,203,222,317,270,314
  └─ Cash Equivalents,84,87,95,34,43,32,27,18,32,45,47,38,31
  └─ Loans n Advances,178,208,160,152,237,325,311,248,264,277,330,272,41
  └─ Other asset items,1610,1481,1639,1608,1537,1458,815,867,785,773,798,811,1029
Total Assets,6817,6894,7419,6999,8119,7441,8413,7490,7243,7024,6319,5914,5737
