Metric,Mar 2025,Mar 2026
Equity Capital,11,11
Reserves,38,42
Borrowings,0,5
  └─ Short term Borrowings,0.00,5.01
Other Liabilities,10,10
  └─ Trade Payables,9.09,7.40
  └─ Other liability items,0.78,2.15
Total Liabilities,59,68
Fixed Assets,1,1
  └─ Intangible Assets,0.05,0.03
CWIP,0,0
Investments,1,1
Other Assets,57,66
  └─ Inventories,6.58,1.20
  └─ Trade receivables,29.21,42.92
  └─ Cash Equivalents,10.58,5.00
  └─ Loans n Advances,4.72,8.72
  └─ Other asset items,5.94,8.16
Total Assets,59,68
