Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,14,14,19,19,19,19,19,19,19,21,21,21,
Reserves,112,144,283,273,266,296,280,312,319,564,628,706,
Borrowings,26,27,81,138,152,172,104,72,346,319,258,388,
  └─ Long term Borrowings,1,0,27,73,49,39,21,0,171,106,109,75,
  └─ Short term Borrowings,25,27,54,65,83,83,52,48,143,133,80,201,
  └─ Lease Liabilities,0,0,0,0,0,28,31,23,32,80,68,112,
  └─ Other Borrowings,1,0,0,0,20,22,0,0,0,-0,-0,,
Other Liabilities,36,58,77,328,337,375,340,392,220,231,216,351,
  └─ Non controlling int,2,3,3,3,4,4,5,5,6,6,7,7,
  └─ Trade Payables,12,18,28,50,35,50,51,70,75,64,58,143,
  └─ Advance from Customers,5,1,6,0,0,0,0,0,0,0,0,,
  └─ Other liability items,17,36,40,275,298,321,284,317,139,161,152,200,
Total Liabilities,188,243,459,758,774,862,742,796,904,1135,1123,1466,
Fixed Assets,49,48,159,344,339,355,288,286,312,414,398,468,
  └─ Land,0,0,90,100,101,34,34,34,34,34,37,,
  └─ Building,3,3,0,0,0,2,3,4,11,14,12,,
  └─ Plant Machinery,0,0,1,8,16,16,16,19,19,19,19,,
  └─ Equipments,6,7,7,8,9,9,9,9,14,19,25,,
  └─ Computers,52,60,15,23,27,30,35,38,43,55,71,,
  └─ Furniture n fittings,3,3,2,2,2,2,3,3,2,3,3,,
  └─ Vehicles,0,1,1,3,2,2,2,4,0,0,0,,
  └─ Intangible Assets,26,27,39,165,166,168,158,158,158,206,206,199,
  └─ Other fixed assets,19,19,17,66,67,175,177,168,192,243,212,,
  └─ Gross Block,109,119,170,376,391,438,436,437,473,594,585,,
  └─ Accumulated Depreciation,60,71,10,32,52,83,148,151,161,180,188,,
CWIP,0,1,6,0,1,1,0,0,0,0,8,44,
Investments,0,0,0,6,30,34,50,19,33,37,60,17,
Other Assets,139,195,294,407,404,473,404,491,559,685,658,936,
  └─ Inventories,0,0,2,30,23,23,23,53,66,69,61,79,
  └─ Trade receivables,61,84,84,166,153,166,128,145,179,234,302,411,
    └─ Receivables over 6m,3,1,0,0,0,0,9,18,10,82,87,,9
    └─ Receivables under 6m,60,83,84,176,173,191,120,143,172,155,220,,71
    └─ Prov for Doubtful,-2,0,-0,-10,-20,-25,-2,-16,-3,-3,-5,,-8
  └─ Cash Equivalents,26,34,72,62,58,70,85,105,100,153,89,45,
  └─ Loans n Advances,5,4,12,14,12,18,13,20,20,25,25,12,
  └─ Other asset items,47,73,124,135,158,195,156,168,195,204,181,388,
Total Assets,188,243,459,758,774,862,742,796,904,1135,1123,1466,
