Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,5,6,6,6,6
Reserves,10,10,10,128,139,153,180
Borrowings,24,26,27,15,34,43,47
  └─ Long term Borrowings,,,,5.79,18.74,21.89,21.25
  └─ Short term Borrowings,,,,8.85,14.89,20.11,24.60
  └─ Lease Liabilities,,,,0.00,0.86,0.84,0.78
  └─ Other Borrowings,23.57,26.38,26.88,0.01,0.00,0.00,
Other Liabilities,13,16,21,26,28,29,36
  └─ Non controlling int,0.47,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Trade Payables,2.75,2.69,4.16,12.56,12.85,15.34,19.87
  └─ Advance from Customers,0.00,0.00,0.00,0.38,2.10,0.00,
  └─ Other liability items,9.97,12.93,16.59,12.62,12.61,13.85,15.68
Total Liabilities,52,56,63,174,207,231,268
Fixed Assets,17,21,23,76,80,102,119
  └─ Land,2.11,0.88,0.88,8.61,8.61,8.61,
  └─ Building,4.84,8.38,8.67,25.91,26.30,33.58,
  └─ Plant Machinery,15.18,18.75,21.79,94.38,103.11,119.06,
  └─ Equipments,1.56,0.42,0.44,13.53,14.64,15.85,
  └─ Computers,0.28,0.44,0.48,0.82,0.89,1.04,
  └─ Furniture n fittings,1.45,1.52,1.61,6.49,4.17,6.23,
  └─ Vehicles,0.81,0.81,0.84,3.72,4.01,4.48,
  └─ Intangible Assets,0.52,0.52,0.52,0.52,0.52,0.52,0.00
  └─ Other fixed assets,0.06,1.25,1.50,6.07,7.37,10.61,
  └─ Gross Block,26.81,32.97,36.73,160.05,169.62,199.98,
  └─ Accumulated Depreciation,10.11,12.16,13.89,83.60,89.36,97.52,
CWIP,4,1,1,8,14,9,0
Investments,0,0,0,1,4,5,6
Other Assets,30,34,38,87,109,114,142
  └─ Inventories,5,7,7,22,23,27,31
  └─ Trade receivables,7,11,13,50,55,61,91
    └─ Receivables over 6m,0,2,3,7,10,7,
    └─ Receivables under 6m,7,8,10,43,45,54,
  └─ Cash Equivalents,8,4,6,13,26,20,13
  └─ Loans n Advances,8,10,11,2,1,1,7
  └─ Other asset items,3,2,2,1,4,5,0
Total Assets,52,56,63,174,207,231,268
