Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,1,1,12,16
Reserves,139,104,140,219,723
Borrowings,156,224,276,343,70
  └─ Long term Borrowings,54,80,68,3,0
  └─ Short term Borrowings,101,141,206,336,55
  └─ Lease Liabilities,2,4,2,4,15
  └─ Preference Capital,0,0,1,0,0
  └─ Other Borrowings,0,0,0,0,
Other Liabilities,38,66,76,122,232
  └─ Non controlling int,-0,-1,1,5,12
  └─ Trade Payables,26,31,45,70,173
  └─ Other liability items,13,36,30,48,47
Total Liabilities,334,395,493,697,1041
Fixed Assets,3,6,4,6,79
  └─ Building,2,5,5,10,
  └─ Plant Machinery,0,0,0,0,
  └─ Equipments,0,0,1,1,
  └─ Computers,1,1,1,1,
  └─ Furniture n fittings,1,1,1,1,
  └─ Vehicles,0,0,0,0,
  └─ Intangible Assets,0,0,0,0,57
  └─ Other fixed assets,0,0,0,0,
  └─ Gross Block,3,8,9,14,
  └─ Accumulated Depreciation,1,2,5,8,
CWIP,0,9,25,41,1
Investments,0,0,0,0,0
Other Assets,331,380,464,650,961
  └─ Inventories,1,2,1,2,4
  └─ Trade receivables,262,275,320,327,410
    └─ Receivables over 6m,3,54,90,91,
    └─ Receivables under 6m,265,241,250,254,
    └─ Prov for Doubtful,-6,-20,-20,-18,
  └─ Cash Equivalents,22,3,1,45,119
  └─ Loans n Advances,16,25,40,163,176
  └─ Other asset items,31,75,102,113,252
Total Assets,334,395,493,697,1041
