Metric,Mar 2017,Mar 2018,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,10,10,10,11,11
Reserves,1857,2141,420,547,764,590,960,1284
Borrowings,1665,7593,941,990,1107,1426,1493,1298
  └─ Long term Borrowings,623,2639,567,595,799,755,952,844
  └─ Short term Borrowings,891,3502,330,359,283,662,537,452
  └─ Lease Liabilities,0,0,43,36,25,8,4,2
  └─ Other Borrowings,151,1452,0,0,0,0,0,
Other Liabilities,3759,4982,732,778,531,648,635,689
  └─ Non controlling int,928,1191,326,291,0,0,0,0
  └─ Trade Payables,2107,3014,272,366,400,444,359,437
  └─ Advance from Customers,80,93,19,19,18,31,65,
  └─ Other liability items,644,684,115,102,114,173,210,251
Total Liabilities,7291,14726,2103,2325,2412,2674,3099,3282
Fixed Assets,2943,3751,736,1390,1471,1474,2154,2211
  └─ Land,249.24,306.89,59.67,59.67,59.67,84.72,116.82,
  └─ Building,606.23,739.46,136.20,136.65,136.87,524.72,765.92,
  └─ Plant Machinery,2341.77,2939.44,555.24,1326.20,1540.23,1999.97,2438.58,
  └─ Equipments,50.15,113.74,5.04,8.50,13.00,44.99,55.66,
  └─ Furniture n fittings,46.59,69.78,4.68,4.78,4.75,12.83,14.27,
  └─ Vehicles,27.23,33.91,1.63,1.56,1.74,3.75,4.51,
  └─ Intangible Assets,5.48,112.61,0.00,0.00,0.00,0.00,0.00,0.80
  └─ Other fixed assets,224.14,402.19,64.08,64.98,65.02,73.09,74.78,
  └─ Gross Block,3550.83,4718.02,826.54,1602.34,1821.28,2744.07,3470.54,
  └─ Accumulated Depreciation,607.59,967.32,91.01,212.17,350.05,1270.15,1316.91,
CWIP,101,396,737,64,78,330,48,49
Investments,1241,484,10,10,10,26,26,31
Other Assets,3006,10096,620,860,853,844,871,990
  └─ Inventories,1397,1417,306,394,411,371,373,440
  └─ Trade receivables,845,1313,222,267,252,293,302,366
  └─ Cash Equivalents,53,175,21,124,104,25,33,54
  └─ Loans n Advances,95,3514,16,16,21,63,65,0
  └─ Other asset items,616,3677,55,60,65,93,98,130
Total Assets,7291,14726,2103,2325,2412,2674,3099,3282
