Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.13,8.42,12.57
Reserves,,12.05,8.41,37.35
Borrowings,,1.87,1.67,3.67
  └─ Long term Borrowings,,1.87,1.68,1.24
  └─ Short term Borrowings,,0.00,0.00,2.43
  └─ Other Borrowings,,0.00,-0.01,
Other Liabilities,,1.79,2.75,6.66
  └─ Non controlling int,,-1.03,-0.99,0.00
  └─ Trade Payables,,1.45,0.42,1.90
  └─ Other liability items,,1.37,3.32,4.76
Total Liabilities,,15.84,21.25,60.25
Fixed Assets,,11.78,9.62,19.20
  └─ Building,,0.04,0.04,
  └─ Plant Machinery,,11.85,12.14,
  └─ Equipments,,4.78,4.81,
  └─ Computers,,0.20,0.21,
  └─ Furniture n fittings,,0.02,0.02,
  └─ Vehicles,,0.32,0.32,
  └─ Intangible Assets,,0.00,0.00,0.01
  └─ Other fixed assets,,0.01,0.00,
  └─ Gross Block,,17.22,17.54,
  └─ Accumulated Depreciation,,5.43,7.92,
CWIP,,0.00,0.00,0.00
Investments,,0.00,4.33,6.20
Other Assets,,4.06,7.30,34.85
  └─ Inventories,,0.39,0.50,0.59
  └─ Trade receivables,,0.82,1.46,0.57
  └─ Cash Equivalents,,1.34,2.16,22.21
  └─ Loans n Advances,,0.44,1.06,10.50
  └─ Other asset items,,1.07,2.12,0.98
Total Assets,,15.84,21.25,60.25
