Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,8.50,8.50,8.50,8.50,8.50,10.50,10.50,10.50,10.50
Reserves,14.61,16.52,18.79,19.10,21.28,30.46,36.48,38.98,42.18
Borrowing,10.40,11.26,10.12,13.54,80.35,95.63,125.07,186.54,261.94
Other Liabilities,1.44,1.25,1.58,7.39,5.21,7.80,10.36,9.23,12.46
  └─ Non controlling int,0.00,0.00,0.00,3.74,4.15,4.58,5.97,6.54,7.12
  └─ Trade Payables,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other liability items,1.43,1.25,1.58,3.65,1.06,3.22,4.39,2.69,5.34
Total Liabilities,34.95,37.53,38.99,48.53,115.34,144.39,182.41,245.25,327.08
Fixed Assets,3.35,3.44,2.69,2.78,2.97,2.85,3.36,2.74,2.53
  └─ Land,3.09,0.00,2.53,2.53,2.20,2.13,1.40,1.40,
  └─ Equipments,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,
  └─ Computers,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.01,
  └─ Furniture n fittings,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,
  └─ Vehicles,1.03,0.00,0.84,0.89,1.56,1.74,3.20,3.20,
  └─ Other fixed assets,0.01,3.44,0.00,0.00,0.00,0.00,0.01,0.01,
  └─ Gross Block,4.16,3.44,3.37,3.42,3.76,3.87,4.68,4.68,
  └─ Accumulated Depreciation,0.82,0.00,0.68,0.64,0.79,1.02,1.32,1.94,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,3.99,4.41,1.72,0.00,1.25,3.11,7.57,9.14,11.33
Other Assets,27.61,29.68,34.58,45.75,111.12,138.43,171.48,233.37,313.22
  └─ Cash Equivalents,0,0,1,0,0,0,2,27,7
  └─ Loans n Advances,13,1,1,1,1,2,4,3,300
  └─ Other asset items,14,29,33,45,110,136,166,204,6
Total Assets,34.95,37.53,38.99,48.53,115.34,144.39,182.41,245.25,327.08
