Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,281,282,285,278,271,543,543,543,543,543,543,543
Reserves,23943,27109,32664,36108,41095,50724,59370,61371,64862,67720,69112,74622
Borrowings,648,1090,582,557,4195,7986,6864,6343,4794,5758,6276,5215
  └─ Long term Borrowings,168,737,383,338,2977,2848,3828,3923,2111,2223,70,37
  └─ Short term Borrowings,355,214,55,42,724,1845,79,62,140,104,2221,122
  └─ Lease Liabilities,0,0,0,0,0,2894,2594,2358,2535,3429,3985,5056
  └─ Other Borrowings,124,139,144,177,494,399,363,0,8,2,0,
Other Liabilities,10372,10859,12231,11046,12788,23566,19270,20664,23051,24985,28549,35878
  └─ Non controlling int,82,211,173,0,103,154,169,92,-7,8,18,32
  └─ Trade Payables,625,703,801,918,1305,1166,5457,6278,6428,5853,6225,7706
  └─ Advance from Customers,62,47,71,65,3,252,320,222,252,158,204,
  └─ Other liability items,9603,9898,11186,10063,11377,21994,13324,14072,16378,18966,22102,28140
Total Liabilities,35245,39341,45762,47989,58349,82819,86047,88921,93250,99006,104480,116258
Fixed Assets,8275,9716,15235,18753,22888,37490,37145,35077,34619,35063,36172,37379
  └─ Land,360,55,55,55,74,373,356,415,410,405,402,
  └─ Building,2124,2185,2581,2827,2996,5947,5246,5202,5064,5614,5594,
  └─ Plant Machinery,1267,1381,1464,1565,1692,1789,1859,1946,1952,2165,2268,
  └─ Equipments,242,252,270,296,340,363,373,385,384,429,444,
  └─ Computers,2587,3013,3512,4277,5538,6523,6433,6972,8256,8653,9048,
  └─ Furniture n fittings,691,698,701,718,828,884,925,939,952,985,1065,
  └─ Vehicles,99,105,110,119,127,143,144,143,158,206,218,
  └─ Intangible Assets,4974,5895,10871,14268,18274,24507,26221,26177,27392,29013,31444,29130
  └─ Other fixed assets,0,183,436,514,861,7340,7764,7910,8023,8480,9291,
  └─ Gross Block,12343,13767,20000,24639,30730,47869,49321,50089,52591,55950,59774,
  └─ Accumulated Depreciation,4068,4051,4765,5886,7842,10379,12176,15012,17972,20887,23602,
CWIP,552,611,448,320,235,400,312,129,40,108,59,60
Investments,869,698,1306,2660,2305,7066,6862,6351,5495,7137,7564,7090
Other Assets,25548,28315,28773,26256,32921,37863,41728,47364,53096,56698,60685,71729
  └─ Inventories,158,264,276,172,91,91,94,161,228,185,133,239
  └─ Trade receivables,6539,7721,8301,9639,11706,14131,17525,20671,25506,25521,25842,23585
  └─ Cash Equivalents,9786,9335,9044,4018,7872,4976,8888,12636,14724,20150,21289,23425
  └─ Loans n Advances,459,665,836,998,1278,1459,1506,1819,1967,2114,2753,5253
  └─ Other asset items,8607,10330,10316,11429,11974,17206,13715,12077,10671,8728,10668,19227
Total Assets,35245,39341,45762,47989,58349,82819,86047,88921,93250,99006,104480,116258
