Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,25,25,25,25,25,25,25,25,25,25,25,25
Reserves,1186,1290,1670,1869,2129,2236,3144,3819,4377,5083,5635,6144
Borrowings,393,412,279,248,162,441,38,46,51,55,76,91
  └─ Long term Borrowings,233,64,17,1,1,1,1,0,0,0,0,0
  └─ Short term Borrowings,96,164,215,231,161,410,0,0,0,0,0,0
  └─ Lease Liabilities,0,0,0,0,0,29,37,46,51,55,76,91
  └─ Other Borrowings,64,184,47,15,0,0,0,0,0,0,0,0
Other Liabilities,753,697,832,793,913,917,1075,1106,1241,1392,1432,1535
  └─ Trade Payables,300,344,453,490,557,548,646,794,904,1016,893,1027
  └─ Advance from Customers,46,46,53,49,44,59,81,44,43,53,50,68
  └─ Other liability items,406,307,326,255,311,310,348,268,294,323,488,440
Total Liabilities,2357,2425,2807,2936,3229,3619,4282,4996,5694,6556,7168,7795
Fixed Assets,1033,1185,1263,1353,1521,1608,1714,1767,2064,2322,2669,3673
  └─ Land,56,59,60,69,87,69,76,76,76,115,184,224
  └─ Building,377,486,537,583,629,691,763,819,931,1001,1074,1338
  └─ Plant Machinery,1018,1150,1261,1395,1549,1668,1815,1958,2295,2566,2958,3673
  └─ Equipments,323,329,377,425,462,491,549,592,658,712,807,1032
  └─ Furniture n fittings,0,23,26,29,33,36,37,39,42,47,51,57
  └─ Vehicles,8,9,8,8,7,6,5,5,5,4,4,4
  └─ Intangible Assets,0,20,20,22,25,26,26,26,29,86,86,119
  └─ Other fixed assets,63,9,9,10,17,89,85,136,157,176,228,341
  └─ Gross Block,1845,2086,2298,2541,2809,3076,3357,3650,4193,4706,5391,6788
  └─ Accumulated Depreciation,812,901,1035,1187,1288,1468,1642,1883,2128,2384,2722,3115
CWIP,100,68,47,75,90,93,51,156,84,149,407,136
Investments,121,126,175,194,222,207,337,476,577,638,720,762
Other Assets,1104,1046,1322,1314,1396,1711,2180,2597,2969,3447,3372,3223
  └─ Inventories,465,558,777,697,750,891,761,1260,1386,1359,1334,1619
  └─ Trade receivables,238,236,275,382,387,313,390,467,492,511,540,488
    └─ Receivables over 6m,10,0,0,0,0,4,4,13,9,21,15,25
    └─ Receivables under 6m,230,238,278,385,391,315,392,460,491,499,533,478
    └─ Prov for Doubtful,-2,-2,-3,-3,-4,-6,-7,-6,-8,-8,-8,-15
  └─ Cash Equivalents,182,29,80,36,37,231,768,526,746,1187,952,658
  └─ Loans n Advances,6,8,6,41,64,78,56,103,109,78,124,94
  └─ Other asset items,213,215,184,158,157,198,205,241,236,312,422,364
Total Assets,2357,2425,2807,2936,3229,3619,4282,4996,5694,6556,7168,7795
