Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2024
Equity Capital,0.25,3.91,4.17,4.27,4.30,
Reserves,0.18,3.94,8.21,7.78,6.24,
Borrowings,5.34,0.48,1.76,6.79,11.33,
  └─ Long term Borrowings,3.79,0.25,0.74,5.05,5.70,0.74
  └─ Short term Borrowings,1.55,0.23,1.02,1.74,5.63,1.02
Other Liabilities,2.26,1.42,0.80,2.94,4.19,
  └─ Trade Payables,1.94,1.20,0.08,2.15,3.03,0.08
  └─ Advance from Customers,0.05,0.14,0.47,0.55,,
  └─ Other liability items,0.27,0.08,0.25,0.24,1.16,0.72
Total Liabilities,8.03,9.75,14.94,21.78,26.06,
Fixed Assets,3.86,4.08,5.08,6.45,16.89,
  └─ Building,2.27,2.31,2.43,2.43,,
  └─ Plant Machinery,2.82,3.41,4.30,6.25,,
  └─ Equipments,0.01,0.01,0.01,0.02,,
  └─ Computers,0.09,0.10,0.11,0.12,,
  └─ Furniture n fittings,0.29,0.36,0.38,0.43,,
  └─ Vehicles,0.00,0.14,0.63,0.63,,
  └─ Other fixed assets,0.01,-0.01,0.02,0.00,,
  └─ Gross Block,5.49,6.32,7.88,9.88,,
  └─ Accumulated Depreciation,1.63,2.25,2.79,3.43,,
CWIP,0.00,0.00,0.87,10.61,1.43,
Investments,0.01,0.52,0.46,0.01,0.01,
Other Assets,4.16,5.15,8.53,4.71,7.73,
  └─ Inventories,2.51,1.92,1.90,2.07,3.18,1.90
  └─ Trade receivables,1.39,1.84,1.37,1.43,1.92,1.37
  └─ Cash Equivalents,0.05,0.14,3.53,0.05,0.06,3.53
  └─ Loans n Advances,0.13,0.36,1.09,0.63,2.50,1.70
  └─ Other asset items,0.08,0.89,0.64,0.53,0.07,0.03
Total Assets,8.03,9.75,14.94,21.78,26.06,
