Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,1,1,4,6,6,19,19,21
Reserves,2,4,5,2,16,22,38,84,420
Borrowings,0,0,0,0,0,0,3,10,14
  └─ Long term Borrowings,0.00,0.00,0.00,0.00,0.00,0.14,0.07,0.00,0.00
  └─ Short term Borrowings,0.00,0.00,0.00,0.38,0.00,0.07,0.07,3.13,5.52
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,2.70,6.46,8.24
  └─ Other Borrowings,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,
Other Liabilities,5,4,4,9,8,10,19,33,54
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.76,0.75
  └─ Trade Payables,2.43,0.78,1.16,5.33,4.23,0.83,3.87,16.34,37.74
  └─ Advance from Customers,0.00,0.00,0.01,0.01,0.01,0.77,0.09,0.03,
  └─ Other liability items,2.77,3.43,3.16,4.07,4.01,8.64,14.30,15.54,15.56
Total Liabilities,8,9,10,17,30,39,80,146,508
Fixed Assets,2,1,3,3,4,9,9,13,55
  └─ Land,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.30,
  └─ Building,0.00,0.00,0.00,0.16,0.16,0.00,0.00,0.00,
  └─ Plant Machinery,0.54,0.54,0.54,0.54,0.54,0.54,0.00,0.00,
  └─ Equipments,0.14,0.20,0.22,0.50,0.56,0.59,0.18,0.37,
  └─ Computers,2.89,3.37,5.72,6.69,10.02,18.35,16.04,20.41,
  └─ Furniture n fittings,0.12,0.20,0.22,0.07,0.07,0.07,0.01,0.01,
  └─ Vehicles,0.00,0.00,0.00,0.00,0.00,0.27,1.11,1.25,
  └─ Intangible Assets,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,40.32
  └─ Other fixed assets,0.00,0.00,0.02,0.00,0.00,0.00,4.40,9.61,
  └─ Gross Block,3.71,4.33,6.74,7.98,11.37,19.84,21.89,31.96,
  └─ Accumulated Depreciation,1.79,2.91,3.77,5.29,7.08,10.58,12.50,19.39,
CWIP,1,2,3,4,6,4,0,1,0
Investments,0,0,0,0,0,0,0,0,1
Other Assets,6,5,4,10,20,26,70,132,452
  └─ Inventories,1,1,0,1,3,3,1,0,1
  └─ Trade receivables,3,3,2,7,5,1,1,32,104
  └─ Cash Equivalents,1,0,0,0,1,19,62,94,309
  └─ Loans n Advances,0,0,0,0,0,1,1,2,7
  └─ Other asset items,1,2,1,1,11,2,5,4,31
Total Assets,8,9,10,17,30,39,80,146,508
