Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,12,12,12,12,13,13,13,14
Reserves,75,109,121,134,181,194,200,262
Borrowings,12,11,19,26,26,31,34,48
  └─ Long term Borrowings,0.02,2.36,6.40,5.07,0.87,1.26,3.73,6.15
  └─ Short term Borrowings,11.61,7.62,10.93,19.28,23.31,29.56,29.52,41.63
  └─ Other Borrowings,0.12,1.49,1.49,1.45,1.53,0.29,0.52,
Other Liabilities,38,49,42,53,59,56,50,49
  └─ Trade Payables,30.57,37.38,32.21,43.30,47.58,38.95,42.65,40.01
  └─ Other liability items,7.64,11.21,10.08,10.13,11.80,17.51,7.68,8.65
Total Liabilities,137,181,194,226,279,295,297,372
Fixed Assets,24,34,90,92,93,92,87,85
  └─ Land,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
  └─ Building,16.25,20.80,34.94,37.94,38.12,38.25,38.42,
  └─ Plant Machinery,17.46,22.63,58.49,60.63,61.67,63.68,64.61,
  └─ Equipments,0.67,1.24,1.39,1.60,1.96,2.67,2.95,
  └─ Computers,0.97,1.09,1.65,2.03,2.44,3.05,3.15,
  └─ Furniture n fittings,5.86,6.35,9.17,10.68,12.06,13.07,13.62,
  └─ Vehicles,1.04,1.24,1.30,1.35,2.69,3.60,3.60,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57
  └─ Other fixed assets,3.39,3.45,7.78,9.09,10.55,11.44,11.49,
  └─ Gross Block,46.58,57.74,115.66,124.26,130.43,136.70,138.78,
  └─ Accumulated Depreciation,22.20,24.05,26.02,31.78,37.77,44.85,51.67,
CWIP,15,40,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0
Other Assets,97,107,104,133,186,203,210,287
  └─ Inventories,15,17,5,27,45,59,62,70
  └─ Trade receivables,43,50,53,63,65,55,69,82
    └─ Receivables over 6m,43,9,0,13,15,55,69,
    └─ Receivables under 6m,0,41,53,51,51,0,0,
  └─ Cash Equivalents,9,3,4,4,21,15,4,31
  └─ Loans n Advances,5,7,10,7,9,7,5,8
  └─ Other asset items,25,30,32,32,46,66,70,97
Total Assets,137,181,194,226,279,295,297,372
