Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.01,0.01,0.01,13,22
Reserves,-6,-2,25,38,164
Borrowings,89,239,328,389,370
  └─ Long term Borrowings,11,24,70,99,81
  └─ Short term Borrowings,3,9,31,32,64
  └─ Lease Liabilities,71,202,224,255,226
  └─ Preference Capital,4,4,4,4,0
  └─ Other Borrowings,-0,-0,0,-0,
Other Liabilities,18,46,57,100,88
  └─ Non controlling int,0,0,0,0,0
  └─ Trade Payables,7,17,23,39,37
  └─ Other liability items,11,29,34,61,51
Total Liabilities,101,282,411,540,644
Fixed Assets,79,228,269,293,261
  └─ Equipments,1.66,1.93,2.56,2.60,
  └─ Computers,0.57,0.69,0.81,1.18,
  └─ Furniture n fittings,9.51,33.22,61.34,72.36,
  └─ Intangible Assets,0.01,0.01,0.06,0.06,3.97
  └─ Other fixed assets,68.94,196.07,213.36,233.73,
  └─ Gross Block,80.69,231.92,278.13,309.93,
  └─ Accumulated Depreciation,2.07,4.34,9.08,16.49,
CWIP,0,0,0,0,70
Investments,1,1,9,53,39
Other Assets,21,54,133,193,274
  └─ Inventories,0,0,0,0,0
  └─ Trade receivables,2,4,12,42,27
  └─ Cash Equivalents,2,1,1,3,55
  └─ Loans n Advances,7,18,26,47,91
  └─ Other asset items,10,31,94,100,100
Total Assets,101,282,411,540,644
