Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,20,20
Reserves,81,300,442
Borrowings,13,4,2
  └─ Long term Borrowings,6.69,1.98,0.55
  └─ Short term Borrowings,6.21,2.17,1.62
  └─ Other Borrowings,0.01,0.00,
Other Liabilities,67,91,113
  └─ Trade Payables,30,38,41
  └─ Advance from Customers,12,15,
  └─ Other liability items,25,38,72
Total Liabilities,163,416,576
Fixed Assets,35,64,219
  └─ Land,11.78,21.81,
  └─ Building,17.34,24.97,
  └─ Plant Machinery,13.92,16.20,
  └─ Equipments,0.72,0.88,
  └─ Computers,0.49,0.67,
  └─ Furniture n fittings,2.26,2.39,
  └─ Vehicles,3.58,3.82,
  └─ Intangible Assets,0.00,13.21,12.71
  └─ Other fixed assets,0.44,0.85,
  └─ Gross Block,50.53,84.80,
  └─ Accumulated Depreciation,15.23,21.01,
CWIP,0,13,15
Investments,0,0,0
Other Assets,127,339,342
  └─ Inventories,49,89,91
  └─ Trade receivables,42,94,111
    └─ Receivables over 6m,1,6,
    └─ Receivables under 6m,42,88,
  └─ Cash Equivalents,20,125,92
  └─ Loans n Advances,13,19,1
  └─ Other asset items,2,11,47
Total Assets,163,416,576
