Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Sep 2017
Equity Capital,4.50,4.50,4.50,4.50,4.50
Reserves,2.07,1.60,0.34,0.36,0.36
Borrowings,2.19,3.96,0.76,0.39,0.27
  └─ Long term Borrowings,2.19,1.11,0.76,0.39,0.27
  └─ Short term Borrowings,0.00,2.85,0.00,0.00,0.00
Other Liabilities,1.61,0.45,0.15,0.04,0.06
  └─ Trade Payables,0.01,0.02,0.05,0.02,0.03
  └─ Advance from Customers,0.13,0.34,0.00,0.00,
  └─ Other liability items,1.47,0.09,0.10,0.02,0.03
Total Liabilities,10.37,10.51,5.75,5.29,5.19
Fixed Assets,0.05,0.04,0.03,0.02,0.03
  └─ Computers,0.13,0.13,0.13,0.13,
  └─ Furniture n fittings,0.01,0.02,0.03,0.03,
  └─ Other fixed assets,-0.01,0.00,0.00,0.00,
  └─ Gross Block,0.13,0.15,0.16,0.16,
  └─ Accumulated Depreciation,0.08,0.11,0.13,0.14,
CWIP,0.00,0.00,0.00,0.00,0.00
Investments,0.34,0.66,0.00,0.00,0.00
Other Assets,9.98,9.81,5.72,5.27,5.16
  └─ Trade receivables,0.01,0.01,0.01,0.01,0.01
    └─ Receivables over 6m,0.01,0.01,0.01,0.01,
  └─ Cash Equivalents,2.28,5.73,2.99,2.59,2.39
  └─ Loans n Advances,0.27,0.28,0.29,0.31,0.00
  └─ Other asset items,7.42,3.79,2.43,2.36,2.76
Total Assets,10.37,10.51,5.75,5.29,5.19
