Metric,Mar 2017
Equity Capital,0.52
Reserves,-7.46
Borrowings,29.62
  └─ Other Borrowings,29.62
Other Liabilities,4.49
  └─ Trade Payables,0.74
  └─ Other liability items,3.75
Total Liabilities,27.17
Fixed Assets,17.06
  └─ Building,2.28
  └─ Plant Machinery,4.88
  └─ Equipments,0.07
  └─ Computers,0.39
  └─ Furniture n fittings,6.90
  └─ Vehicles,2.36
  └─ Other fixed assets,0.18
  └─ Gross Block,17.06
CWIP,3.01
Investments,0.02
Other Assets,7.08
  └─ Inventories,2.19
  └─ Trade receivables,0.77
  └─ Cash Equivalents,0.60
  └─ Loans n Advances,0.37
  └─ Other asset items,3.15
Total Assets,27.17
