Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,35,38,39,45,45
Reserves,130,168,209,407,405
Borrowings,104,104,184,206,299
  └─ Long term Borrowings,29,22,112,93,180
  └─ Short term Borrowings,75,82,72,112,118
  └─ Lease Liabilities,0,1,0,2,1
Other Liabilities,55,63,72,80,78
  └─ Non controlling int,0,-0,0,0,0
  └─ Trade Payables,11,9,13,15,13
  └─ Advance from Customers,4,4,2,2,
  └─ Other liability items,40,51,57,64,64
Total Liabilities,324,373,504,738,827
Fixed Assets,177,199,202,212,216
  └─ Land,5.30,5.30,5.61,9.13,
  └─ Building,32.15,33.68,37.56,37.49,
  └─ Plant Machinery,166.77,191.40,199.97,219.41,
  └─ Equipments,1.33,1.70,2.07,3.08,
  └─ Furniture n fittings,7.69,11.54,16.92,17.90,
  └─ Vehicles,2.37,2.21,2.59,2.85,
  └─ Intangible Assets,4.09,5.85,1.76,1.76,10.22
  └─ Other fixed assets,1.85,2.84,4.12,4.59,
  └─ Gross Block,221.55,254.52,270.60,296.21,
  └─ Accumulated Depreciation,44.74,55.39,68.64,84.34,
CWIP,18,22,46,166,287
Investments,0,1,1,0,0
Other Assets,130,151,255,360,323
  └─ Inventories,79,98,111,132,96
  └─ Trade receivables,23,24,40,46,39
    └─ Receivables over 6m,12.42,2.08,1.96,5.42,
    └─ Receivables under 6m,11.06,23.41,38.99,41.94,
    └─ Prov for Doubtful,-0.95,-1.05,-0.94,-1.11,
  └─ Cash Equivalents,11,7,70,74,25
  └─ Loans n Advances,5,12,7,10,2
  └─ Other asset items,13,10,26,99,160
Total Assets,324,373,504,738,827
