Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,9.51,12.91,14.11,14.11,14.11
Reserves,1.24,5.59,19.02,19.13,23.58
Borrowings,3.43,6.53,5.54,6.65,6.29
  └─ Long term Borrowings,3.43,6.51,5.51,6.64,6.29
  └─ Other Borrowings,0.00,0.02,0.03,0.01,
Other Liabilities,111.73,118.71,113.98,94.79,90.39
  └─ Non controlling int,-0,-0,-0,0,-0
  └─ Trade Payables,95,102,101,84,79
  └─ Advance from Customers,15,15,8,8,
  └─ Other liability items,2,1,5,3,12
Total Liabilities,125.91,143.74,152.65,134.68,134.37
Fixed Assets,7.17,5.69,6.96,6.13,5.37
  └─ Building,1.18,1.18,3.40,3.40,
  └─ Plant Machinery,6.40,6.40,6.65,6.65,
  └─ Equipments,0.06,0.08,0.09,0.09,
  └─ Computers,0.15,0.19,0.20,0.20,
  └─ Furniture n fittings,0.47,0.47,0.47,0.47,
  └─ Vehicles,0.76,0.36,0.41,0.41,
  └─ Intangible Assets,1.66,1.66,1.66,1.66,1.66
  └─ Other fixed assets,0.00,0.01,-0.01,0.28,
  └─ Gross Block,10.68,10.35,12.87,13.16,
  └─ Accumulated Depreciation,3.51,4.66,5.91,7.03,
CWIP,0.00,0.00,0.00,0.00,0.00
Investments,0.00,0.00,0.00,0.00,0.28
Other Assets,118.74,138.05,145.69,128.55,128.72
  └─ Inventories,1,4,2,2,2
  └─ Trade receivables,107,113,130,118,115
  └─ Cash Equivalents,2,1,1,1,3
  └─ Loans n Advances,2,0,0,2,3
  └─ Other asset items,7,20,14,7,6
Total Assets,125.91,143.74,152.65,134.68,134.37
