Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,8,8,16,16,16,41,47,48,77,77,84,99,
Reserves,1885,1705,2123,2144,2260,2506,2273,2336,2811,3076,3700,4341,
Borrowings,5163,5395,4982,2910,2698,2296,2296,2292,1758,1910,1615,1216,
  └─ Long term Borrowings,2368,2107,1599,1332,1305,919,753,761,532,557,388,256,
  └─ Short term Borrowings,2422,2825,2740,1539,1344,1325,1513,1501,1208,1328,1214,931,
  └─ Lease Liabilities,0,0,0,0,0,0,30,30,17,24,13,29,
  └─ Other Borrowings,374,463,644,38,49,51,-0,0,-0,0,0,,
Other Liabilities,2183,2404,2555,2344,3226,3485,3471,3835,4111,3933,4180,3866,
  └─ Non controlling int,125,146,70,56,57,33,61,71,88,8,-8,2,
  └─ Trade Payables,867,788,861,1095,1093,1370,1210,1324,1504,1864,2118,2163,
  └─ Advance from Customers,404,380,263,524,501,723,560,754,759,416,440,,
  └─ Other liability items,788,1091,1362,670,1575,1360,1640,1685,1760,1644,1629,1701,
Total Liabilities,9239,9512,9676,7414,8201,8328,8087,8510,8757,8996,9580,9522,
Fixed Assets,658,622,629,556,578,607,683,1181,1231,1319,1328,1338,
  └─ Land,245.02,247.00,262.16,252.14,254.35,259.04,246.45,670.71,654.90,762.93,770.12,,
  └─ Building,63.07,62.48,61.09,55.71,62.41,70.54,62.70,55.03,78.87,79.22,79.42,,
  └─ Plant Machinery,673.41,715.65,648.46,592.80,643.01,646.67,795.92,891.35,911.38,972.73,1046.20,,
  └─ Equipments,6.10,6.35,6.37,6.54,6.32,6.27,6.33,6.97,3.14,3.77,4.36,,
  └─ Computers,9.33,10.97,9.80,9.89,10.04,11.86,13.29,15.14,11.25,12.34,13.24,,
  └─ Furniture n fittings,15.09,16.11,18.20,17.92,18.37,18.82,20.88,25.37,25.11,28.87,32.65,,
  └─ Vehicles,127.53,123.19,137.08,132.96,130.14,132.40,141.61,164.14,163.64,170.12,174.62,,
  └─ Intangible Assets,33.28,33.41,31.70,30.70,30.70,28.39,28.39,28.20,25.26,25.26,25.26,23.20,
  └─ Other fixed assets,21.28,7.82,8.53,8.38,9.67,9.94,10.12,10.43,9.90,10.24,10.73,,
  └─ Gross Block,1194.11,1222.98,1183.39,1107.04,1165.01,1183.93,1325.69,1867.34,1883.45,2065.48,2156.60,,
  └─ Accumulated Depreciation,535.97,600.92,554.12,550.75,586.51,576.69,643.15,686.84,652.31,746.64,828.70,,
CWIP,982,837,868,792,1063,1141,679,283,294,233,171,126,
Investments,182,164,138,140,116,79,68,82,135,155,181,53,
Other Assets,7417,7889,8040,5926,6443,6501,6658,6965,7096,7289,7900,8005,
  └─ Inventories,3969,4701,4855,3162,3546,3566,3630,3591,3676,3792,4387,978,
  └─ Trade receivables,568,514,254,241,230,328,434,562,504,554,754,598,
    └─ Receivables over 6m,175,82,0,0,0,0,291,414,400,367,269,,26
    └─ Receivables under 6m,397,432,254,241,230,328,144,148,170,188,486,,514
    └─ Prov for Doubtful,-4,0,-0,-0,-0,-1,-1,-0,-67,-0,-0,,0
  └─ Cash Equivalents,152,64,61,132,124,114,196,261,208,339,405,540,
  └─ Loans n Advances,138,33,30,33,22,37,57,68,69,59,110,894,
  └─ Other asset items,2590,2578,2840,2358,2521,2457,2341,2484,2639,2545,2244,4995,
Total Assets,9239,9512,9676,7414,8201,8328,8087,8510,8757,8996,9580,9522,
