Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Equity Capital,6,6,7,7,7,8,8
Reserves,-0,2,2,-3,-0,-1,-2
Borrowings,12,11,28,34,21,20,0
  └─ Long term Borrowings,0.00,0.00,1.37,33.85,20.79,1.96,0.04
  └─ Short term Borrowings,12.06,10.67,27.08,0.00,0.00,17.60,0.00
Other Liabilities,16,15,20,25,25,30,40
  └─ Trade Payables,15.37,14.36,15.71,20.85,20.47,27.87,23.61
  └─ Other liability items,0.53,1.03,3.79,3.71,4.50,1.90,16.42
Total Liabilities,34,34,57,63,53,56,46
Fixed Assets,1,1,2,4,5,4,4
  └─ Building,1.35,1.35,1.35,3.39,4.44,4.45,
  └─ Plant Machinery,0.00,0.00,0.00,1.23,1.32,1.38,
  └─ Equipments,0.07,0.06,0.07,0.07,0.09,0.12,
  └─ Computers,0.07,0.07,0.08,0.09,0.10,0.10,
  └─ Furniture n fittings,0.06,0.06,0.51,0.54,0.09,0.09,
  └─ Vehicles,0.00,0.00,0.00,0.00,0.04,0.04,
  └─ Intangible Assets,0.00,0.00,0.23,0.13,0.13,0.13,0.13
  └─ Other fixed assets,0.00,0.01,0.02,0.03,0.24,0.00,
  └─ Gross Block,1.55,1.55,2.26,5.48,6.45,6.31,
  └─ Accumulated Depreciation,0.25,0.37,0.52,1.18,1.56,2.09,
CWIP,0,0,0,1,1,0,0
Investments,2,1,0,0,0,0,0
Other Assets,31,32,55,57,47,52,42
  └─ Inventories,14.85,10.46,22.65,23.91,28.06,24.09,21.64
  └─ Trade receivables,10.65,17.66,24.38,23.05,11.33,15.60,10.70
    └─ Receivables over 6m,0.00,0.00,4.47,16.14,1.93,15.60,
    └─ Receivables under 6m,10.65,17.66,19.91,6.91,9.39,0.00,
  └─ Cash Equivalents,0.68,0.06,2.31,3.99,3.65,3.82,3.85
  └─ Loans n Advances,3.53,0.00,0.85,0.29,0.15,1.92,1.52
  └─ Other asset items,0.86,3.34,4.90,5.99,3.50,6.27,4.65
Total Assets,34,34,57,63,53,56,46
