Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2023
Equity Capital,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33
Reserves,22.70,23.55,5.46,-23.08,-3.62,-6.36,-7.17,-11.86,-12.83,-13.07,-13.47,-15.41,-15.27
Borrowings,127.61,116.38,132.24,140.80,-0.00,1.71,1.10,0.15,0.06,-0.00,-0.00,4.00,1.00
  └─ Long term Borrowings,78.44,68.12,51.33,34.41,0.00,0.51,0.15,0.00,0.06,0.00,0.00,0.00,0.00
  └─ Short term Borrowings,30.41,31.50,61.50,81.88,0.00,1.20,0.95,0.15,0.00,0.00,0.00,4.00,1.00
  └─ Other Borrowings,18.76,16.76,19.41,24.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Other Liabilities,20.77,28.63,26.17,35.72,14.17,16.92,10.00,9.37,7.20,7.09,7.09,7.07,6.82
  └─ Non controlling int,0.05,0.05,0.05,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Trade Payables,10.78,14.19,16.08,14.03,0.05,3.52,2.21,1.61,0.49,0.36,0.37,0.40,0.27
  └─ Advance from Customers,0.20,2.51,1.20,8.87,13.00,12.38,4.82,4.72,3.90,3.88,3.88,3.88,
  └─ Other liability items,9.74,11.88,8.84,12.77,1.08,1.02,2.97,3.04,2.81,2.85,2.84,2.79,6.55
Total Liabilities,200.41,197.89,193.20,182.77,39.88,41.60,33.26,26.99,23.76,23.35,22.95,24.99,21.88
Fixed Assets,158.81,154.27,150.75,144.20,4.83,4.61,4.29,3.96,3.67,3.42,3.18,2.91,2.78
  └─ Land,0.29,0.29,0.37,0.43,0.27,0.16,0.16,0.16,0.16,0.16,0.16,0.16,
  └─ Building,30.33,34.13,35.52,36.01,0.14,0.11,0.14,0.14,0.14,0.14,0.14,0.14,
  └─ Plant Machinery,136.37,115.44,119.08,119.90,6.36,4.07,6.36,6.36,6.36,6.36,6.36,6.35,
  └─ Equipments,0.96,7.68,8.14,7.97,0.13,0.02,0.21,0.21,0.17,0.17,0.18,0.16,
  └─ Computers,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Furniture n fittings,0.99,21.37,21.42,21.58,0.28,0.16,0.28,0.28,0.29,0.29,0.30,0.16,
  └─ Railway sidings,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Vehicles,0.56,0.83,0.74,0.74,0.42,0.06,0.42,0.42,0.00,0.00,0.00,0.00,
  └─ Other fixed assets,5.77,0.04,0.10,0.09,-0.01,0.03,0.03,0.05,0.04,0.00,0.00,0.01,
  └─ Gross Block,175.43,179.94,185.53,186.72,7.64,4.61,7.60,7.62,7.16,7.12,7.14,6.98,
  └─ Accumulated Depreciation,16.62,25.67,34.78,42.52,2.81,0.00,3.31,3.66,3.48,3.71,3.96,4.06,
CWIP,0.16,0.62,1.09,0.52,0.84,0.91,0.85,0.84,0.84,0.84,0.84,0.84,0.84
Investments,-0.00,-0.00,-0.00,-0.00,0.01,0.03,2.64,1.77,0.18,6.53,-0.00,-0.00,-0.00
Other Assets,41.44,43.00,41.36,38.05,34.20,36.05,25.48,20.42,19.07,12.56,18.93,21.24,18.26
  └─ Inventories,6.02,5.99,4.83,5.39,0.00,2.82,1.91,0.66,0.06,0.00,0.22,0.27,0.32
  └─ Trade receivables,16.06,19.53,17.91,14.85,0.63,8.16,3.75,3.17,1.95,1.37,2.80,6.06,6.99
    └─ Receivables over 6m,3.23,2.15,1.58,0.75,0.43,4.44,0.00,0.00,0.00,0.00,1.49,3.98,
    └─ Receivables under 6m,12.83,17.38,16.33,14.11,0.20,3.72,3.75,3.98,3.14,2.40,2.33,3.02,
    └─ Prov for Doubtful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.81,-1.19,-1.03,-1.03,-0.93,
  └─ Cash Equivalents,4.92,2.16,2.91,2.74,23.65,18.02,7.78,9.42,11.16,6.06,10.82,10.30,7.49
  └─ Loans n Advances,2.95,1.29,1.39,1.14,1.04,3.62,10.63,6.55,5.11,4.31,4.33,3.93,1.78
  └─ Other asset items,11.49,14.03,14.32,13.93,8.88,3.43,1.41,0.62,0.79,0.82,0.76,0.68,1.68
Total Assets,200.41,197.89,193.20,182.77,39.88,41.60,33.26,26.99,23.76,23.35,22.95,24.99,21.88
