Metric,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,1.82,18.52,19.58,19.58
Reserves,14.14,26.72,46.65,50.23
Borrowings,15.27,14.47,26.76,34.65
  └─ Long term Borrowings,1.05,0.74,1.50,4.97
  └─ Short term Borrowings,14.22,13.74,25.27,29.68
  └─ Other Borrowings,0.00,-0.01,-0.01,
Other Liabilities,16.40,17.91,23.24,28.81
  └─ Non controlling int,0.00,0.13,0.17,0.38
  └─ Trade Payables,6.12,6.74,11.53,12.57
  └─ Advance from Customers,1.67,0.40,0.45,
  └─ Other liability items,8.61,10.64,11.09,15.86
Total Liabilities,47.63,77.62,116.23,133.27
Fixed Assets,8.47,14.06,15.54,16.74
  └─ Land,2.20,2.20,2.34,
  └─ Building,3.86,5.59,5.59,
  └─ Plant Machinery,1.76,4.74,6.01,
  └─ Equipments,0.38,0.82,0.95,
  └─ Computers,0.34,0.40,0.43,
  └─ Furniture n fittings,0.52,1.46,1.59,
  └─ Vehicles,0.92,0.92,1.46,
  └─ Intangible Assets,0.00,0.00,0.00,0.77
  └─ Other fixed assets,0.00,-0.01,0.24,
  └─ Gross Block,9.98,16.12,18.61,
  └─ Accumulated Depreciation,1.50,2.06,3.07,
CWIP,2.77,0.86,4.11,20.41
Investments,2.90,15.25,23.89,21.81
Other Assets,33.49,47.45,72.69,74.31
  └─ Inventories,8.73,9.74,13.65,15.28
  └─ Trade receivables,16.41,30.49,41.64,38.22
    └─ Receivables over 6m,10.11,14.73,19.22,
    └─ Receivables under 6m,6.29,15.77,22.85,
    └─ Prov for Doubtful,0.00,0.00,-0.43,
  └─ Cash Equivalents,4.17,0.89,8.83,1.22
  └─ Loans n Advances,3.26,3.79,5.83,15.06
  └─ Other asset items,0.92,2.54,2.74,4.53
Total Assets,47.63,77.62,116.23,133.27
