Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Equity Capital,134,134,182,183,183,289,289,433,650,650,676,676
Reserves,9,91,1511,1587,1816,3040,3235,3647,4453,6287,15934,18902
Borrowings,2615,2527,2215,2654,2808,3417,3216,3387,3884,5431,2826,2508
  └─ Long term Borrowings,1623,1580,1218,1691,1980,2355,1980,1813,1727,3189,841,540
  └─ Short term Borrowings,509,252,411,353,378,467,714,1529,1968,2005,1524,1484
  └─ Lease Liabilities,0,0,0,0,0,0,0,45,189,237,462,484
  └─ Preference Capital,200,450,0,0,0,0,0,0,0,0,0,0
  └─ Other Borrowings,284,245,586,609,450,595,523,0,-0,-0,-0,-0
Other Liabilities,533,1680,915,852,1192,1630,1707,2113,2632,2819,3688,3454
  └─ Non controlling int,0,0,-13,-1,8,31,65,117,113,148,130,162
  └─ Trade Payables,181,185,275,191,317,478,511,712,824,758,1560,1401
  └─ Advance from Customers,18,61,96,71,69,113,173,79,203,180,219,159
  └─ Other liability items,335,1435,558,592,799,1009,958,1205,1491,1732,1778,1731
Total Liabilities,3292,4431,4824,5276,5998,8376,8447,9579,11618,15187,23124,25541
Fixed Assets,2355,3496,3716,3981,4387,6479,6409,6311,6932,8409,13402,16759
  └─ Land,449,586,683,692,783,1209,1250,1296,1679,1832,1902,1994
  └─ Building,383,478,545,636,818,1308,1392,1474,1587,1958,3408,4525
  └─ Plant Machinery,1212,1661,1835,2075,2248,3565,3831,3967,4401,5499,8598,11225
  └─ Equipments,10,832,916,936,1021,1194,1212,1242,1238,1293,1529,1899
  └─ Computers,11,15,18,20,17,23,25,28,33,41,65,82
  └─ Furniture n fittings,10,14,16,17,20,25,26,29,29,41,69,72
  └─ Vehicles,121,132,169,173,652,742,622,690,795,1086,1500,1856
  └─ Intangible Assets,10,435,414,497,584,644,644,644,644,644,1532,1711
  └─ Other fixed assets,3174,479,563,588,30,35,32,38,35,51,200,236
  └─ Gross Block,5380,4632,5159,5635,6172,8745,9033,9410,10441,12445,18802,23600
  └─ Accumulated Depreciation,3026,1137,1443,1654,1785,2265,2624,3099,3509,4036,5400,6841
CWIP,25,38,96,145,352,64,67,497,607,1922,1167,271
Investments,304,3,7,8,11,0,0,0,0,21,60,174
Other Assets,608,894,1006,1141,1247,1833,1972,2772,4079,4835,8496,8337
  └─ Inventories,289,425,490,439,578,882,929,1448,1994,2151,2791,2952
  └─ Trade receivables,97,98,131,150,128,173,242,221,299,359,846,1249
    └─ Receivables over 6m,36,50,0,0,0,0,0,59,55,0,87,137
    └─ Receivables under 6m,76,65,157,180,163,212,285,212,298,418,866,1224
    └─ Prov for Doubtful,-15,-17,-25,-30,-35,-39,-44,-50,-54,-59,-108,-112
  └─ Cash Equivalents,34,58,66,94,93,171,190,337,285,460,2450,1998
  └─ Loans n Advances,63,57,93,89,103,128,192,187,288,253,664,300
  └─ Other asset items,125,257,227,369,345,480,420,579,1213,1612,1745,1837
Total Assets,3292,4431,4824,5276,5998,8376,8447,9579,11618,15187,23124,25541
