Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,12,12,12,12,12,12,12,12,24,27,27,27,27
Reserves,-5,-1,-1,-1,2,4,15,17,86,89,113,118,110
Borrowings,21,1,1,1,0,0,0,1,11,10,59,78,63
  └─ Long term Borrowings,,0,0,0,0,0,0,1,0,0,0,0,2
  └─ Short term Borrowings,,0,0,0,0,0,0,0,0,0,0,0,60
  └─ Lease Liabilities,,0,0,0,0,0,0,0,0,0,0,0,1
  └─ Other Borrowings,21,0,0,0,0,0,0,0,11,10,59,78,
Other Liabilities,10,31,56,55,41,30,27,31,68,84,103,107,124
  └─ Non controlling int,0,0,0,0,0,0,0,0,46,51,67,80,87
  └─ Trade Payables,8,8,25,23,22,20,11,10,1,20,17,10,12
  └─ Advance from Customers,0,8,5,6,3,5,14,14,9,2,4,1,
  └─ Other liability items,1,16,25,26,16,5,3,7,12,10,15,17,25
Total Liabilities,38,42,66,66,54,46,54,60,190,210,302,330,325
Fixed Assets,6,6,6,6,6,5,2,2,4,4,6,15,14
  └─ Land,0.05,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Building,3.83,3.83,3.83,3.83,1.21,0.20,0.19,0.19,0.91,0.96,3.46,4.78,
  └─ Plant Machinery,0.54,0.45,0.48,0.49,0.55,0.65,0.68,1.01,1.77,1.81,1.98,2.34,
  └─ Equipments,0.35,0.35,0.35,0.26,0.26,0.27,0.16,0.17,0.36,0.37,0.43,0.57,
  └─ Computers,0.08,0.00,0.09,0.09,0.10,0.11,0.00,0.00,0.08,0.08,0.09,0.09,
  └─ Furniture n fittings,1.61,1.65,1.73,1.45,1.53,1.62,0.52,0.31,0.55,0.55,0.57,2.32,
  └─ Vehicles,1.20,1.20,1.20,1.54,1.59,1.95,1.81,2.07,3.37,3.49,3.68,10.16,
  └─ Intangible Assets,2.91,2.91,2.91,2.91,2.91,2.91,0.00,0.00,0.00,0.00,0.00,0.00,0.07
  └─ Other fixed assets,0.02,0.13,0.04,0.04,0.09,0.10,0.00,0.00,0.11,0.12,0.10,0.16,
  └─ Gross Block,10.59,10.57,10.68,10.66,8.24,7.81,3.36,3.75,7.15,7.38,10.31,20.42,
  └─ Accumulated Depreciation,4.24,4.49,4.82,5.11,2.61,3.01,1.80,1.45,3.29,3.46,4.07,5.49,
CWIP,0,0,0,0,0,0,0,0,0,0,0,1,1
Investments,0,0,0,0,0,1,0,19,11,11,25,11,13
Other Assets,31,36,60,61,48,40,53,39,175,195,271,303,297
  └─ Inventories,5,4,25,24,23,23,13,15,63,119,140,145,147
  └─ Trade receivables,0,0,0,1,2,2,0,9,62,35,69,105,99
    └─ Receivables over 6m,0,0,0,0,0,0,0,0,1,0,1,49,
    └─ Receivables under 6m,0,0,0,1,2,2,0,9,62,35,68,56,
    └─ Prov for Doubtful,0,0,0,0,0,0,0,0,0,0,-0,-0,
  └─ Cash Equivalents,1,1,1,1,2,0,4,3,6,5,9,4,1
  └─ Loans n Advances,2,2,0,0,0,1,3,2,33,29,39,32,18
  └─ Other asset items,24,29,34,33,20,14,33,10,10,8,14,17,31
Total Assets,38,42,66,66,54,46,54,60,190,210,302,330,325
