Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2020,Mar 2014
Equity Capital,0.19,0.27,0.27,4.88,6.63,6.63,6.63,13.27,13.27,13.27,13.27,13.27,,
Reserves,81.27,108.75,63.74,112.62,142.25,154.93,158.20,158.83,166.94,168.89,173.78,171.36,,
Borrowings,329.43,179.08,173.06,187.70,234.89,149.23,134.89,114.92,93.50,50.82,142.25,178.12,,
  └─ Long term Borrowings,,,149,169,210,131,114,94,73,47,123,158,131,
  └─ Short term Borrowings,,,9,4,0,0,0,21,21,4,20,21,0,
  └─ Other Borrowings,,179,16,15,25,18,21,0,0,0,0,,,
Other Liabilities,35.92,10.07,12.40,14.88,76.73,30.88,22.13,23.27,24.79,1.60,3.98,49.25,,
  └─ Non controlling int,,8.55,8.67,8.88,33.32,24.31,18.10,18.57,19.11,-1.13,-1.13,-1.13,24.31,
  └─ Trade Payables,,0.36,1.29,2.33,3.83,2.93,2.22,2.51,2.45,1.68,1.91,49.08,2.93,
  └─ Advance from Customers,,0.00,0.02,0.14,0.00,0.11,0.03,0.00,0.00,0.00,0.00,,,
  └─ Other liability items,,1.16,2.42,3.53,39.58,3.53,1.78,2.19,3.23,1.05,3.20,1.30,21.63,
Total Liabilities,446.81,298.17,249.47,320.08,460.50,341.67,321.85,310.29,298.50,234.58,333.28,412.00,,
Fixed Assets,396.31,257.45,190.93,225.81,204.14,104.21,138.22,122.09,106.60,44.40,98.45,181.30,,
  └─ Land,,7.19,7.32,7.32,7.32,3.93,3.93,3.93,3.93,2.77,2.77,,,
  └─ Building,,14.38,14.38,14.38,14.38,11.09,11.09,11.09,11.09,11.09,16.39,,,
  └─ Plant Machinery,,283.23,284.25,283.31,283.32,169.46,174.38,174.38,174.38,140.16,192.81,,,
  └─ Equipments,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,,,
  └─ Computers,,0.00,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,
  └─ Furniture n fittings,,0.01,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,,,
  └─ Vehicles,,0.00,0.01,0.03,0.03,0.03,0.03,0.03,0.50,0.81,0.81,,,
  └─ Other fixed assets,,-0.01,-0.01,-0.01,0.00,0.00,113.80,113.80,113.80,0.00,0.01,,,
  └─ Gross Block,,304.81,306.06,305.07,305.09,184.55,303.27,303.27,303.74,154.89,212.87,,,
  └─ Accumulated Depreciation,,47.37,115.13,79.26,100.94,80.34,165.05,181.18,197.14,110.49,114.41,,,
CWIP,0.00,0.00,3.53,0.51,71.14,45.88,0.00,0.00,0.00,0.27,21.40,19.90,,
Investments,0.70,25.81,36.45,42.75,80.99,76.72,82.15,87.43,87.82,97.22,97.02,96.68,,
Other Assets,49.80,14.91,18.56,51.01,104.23,114.86,101.48,100.77,104.08,92.69,116.41,114.12,,
  └─ Inventories,,0.92,0.98,1.32,0.90,0.90,0.97,2.57,1.04,2.62,0.00,0.36,0.90,
  └─ Trade receivables,,2.08,2.02,6.26,3.16,10.70,10.81,13.26,12.14,15.02,16.67,11.81,10.70,
    └─ Receivables over 6m,0.00,0.00,0.00,0.33,1.89,0.00,0.00,0.00,10.09,15.02,16.67,,,0.00
    └─ Receivables under 6m,2.32,2.08,2.02,5.93,1.27,10.70,10.81,13.26,2.05,0.00,0.00,,,2.50
  └─ Cash Equivalents,,5.16,5.21,6.00,42.29,36.71,13.87,15.14,19.78,19.26,38.10,42.95,36.71,
  └─ Loans n Advances,,0.48,0.36,0.25,0.52,0.12,0.30,0.57,0.16,0.05,0.12,40.95,60.87,
  └─ Other asset items,,6.27,9.99,37.18,57.36,66.43,75.53,69.23,70.96,55.74,61.52,18.05,5.68,
Total Assets,446.81,298.17,249.47,320.08,460.50,341.67,321.85,310.29,298.50,234.58,333.28,412.00,,
