Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Equity Capital,0.01,0.01,0.01,2,11,22,22,
Reserves,0,0,0,15,35,47,89,
Borrowings,0,0,0,1,3,5,3,
  └─ Long term Borrowings,,,0.00,0.82,0.34,0.45,0.33,0.02
  └─ Short term Borrowings,,,0.00,0.00,3.00,0.00,1.79,0.00
  └─ Other Borrowings,0.07,0.46,0.00,0.00,0.08,4.66,1.29,
Other Liabilities,0,19,61,274,681,552,396,
  └─ Trade Payables,0,18,60,163,291,207,315,102
  └─ Advance from Customers,0,0,0,107,331,17,0,
  └─ Other liability items,0,0,1,4,60,327,81,120
Total Liabilities,0,19,61,292,731,626,510,
Fixed Assets,0,0,3,13,12,13,11,
  └─ Land,0.00,0.00,2.64,3.17,3.17,6.20,6.20,
  └─ Plant Machinery,0.00,0.00,0.00,6.61,7.37,7.43,7.43,
  └─ Equipments,0.02,0.02,0.46,0.85,1.66,1.82,1.83,
  └─ Computers,0.02,0.02,0.22,2.76,3.52,3.61,3.62,
  └─ Furniture n fittings,0.01,0.01,0.04,0.59,0.61,0.65,0.65,
  └─ Vehicles,0.00,0.00,0.11,0.83,0.88,1.45,1.45,
  └─ Intangible Assets,0.00,0.00,0.00,0.05,0.05,0.05,0.05,0.00
  └─ Other fixed assets,0.01,0.01,0.01,0.00,0.00,-0.01,-0.01,
  └─ Gross Block,0.06,0.06,3.48,14.86,17.26,21.20,21.22,
  └─ Accumulated Depreciation,0.01,0.02,0.09,1.78,5.48,8.20,10.01,
CWIP,0,0,0,2,3,0,0,
Investments,0,0,0,0,0,0,0,
Other Assets,0,19,58,278,716,613,499,
  └─ Inventories,0.00,3.43,5.79,106.87,184.83,224.58,33.84,0.00
  └─ Trade receivables,0.00,13.50,21.79,61.05,324.02,306.65,227.23,0.16
  └─ Cash Equivalents,0.02,0.31,1.04,69.44,53.38,11.93,6.38,1.48
  └─ Loans n Advances,0.04,1.57,28.54,29.67,82.80,25.77,16.08,21.51
  └─ Other asset items,0.02,0.26,0.61,10.56,71.46,43.79,215.47,19.00
Total Assets,0,19,61,292,731,626,510,
