Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,14.30,14.30,14.30
Reserves,33.16,31.28,29.83
Borrowings,3.92,0.00,3.57
  └─ Short term Borrowings,3.92,0.00,3.57
Other Liabilities,3.89,6.30,4.52
  └─ Trade Payables,0.76,3.30,1.00
  └─ Advance from Customers,0.05,0.13,
  └─ Other liability items,3.08,2.87,3.52
Total Liabilities,55.27,51.88,52.22
Fixed Assets,11.71,12.12,19.09
  └─ Intangible Assets,0.00,0.00,8.45
  └─ Other fixed assets,11.71,12.12,
  └─ Gross Block,11.71,12.12,
CWIP,0.00,3.27,0.00
Investments,0.37,0.37,0.37
Other Assets,43.19,36.12,32.76
  └─ Inventories,0.70,0.31,0.01
  └─ Trade receivables,15.16,12.93,14.30
  └─ Cash Equivalents,22.76,13.30,14.54
  └─ Loans n Advances,1.66,0.73,3.02
  └─ Other asset items,2.91,8.85,0.89
Total Assets,55.27,51.88,52.22
