Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Equity Capital,17.00,32.75,34.50,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12
Reserves,11.83,59.83,65.97,119.69,127.14,138.70,150.29,150.62,128.86,140.99,149.17,153.86
Borrowing,56.50,68.05,56.39,0.77,0.00,0.00,2.09,2.67,8.50,14.00,14.00,1.00
Other Liabilities,0.48,4.88,6.17,2.89,3.89,3.32,4.03,16.22,31.23,29.47,55.28,65.49
  └─ Trade Payables,0,0,0,0,0,0,0,1,0,0,0,0
  └─ Advance from Customers,0,0,0,0,0,0,0,0,1,1,3,
  └─ Other liability items,0,5,6,3,4,3,4,15,30,29,52,65
Total Liabilities,85.81,165.51,163.03,218.47,226.15,237.14,251.53,264.63,263.71,279.58,313.57,315.47
Fixed Assets,0.19,0.70,0.76,0.58,0.47,2.50,3.37,1.63,1.10,0.99,1.12,1.04
  └─ Land,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.00,0.00,0.00,0.00,
  └─ Building,0.00,0.00,0.06,0.06,0.00,2.25,2.44,0.75,0.76,0.76,0.76,
  └─ Equipments,0.02,0.02,0.12,0.12,0.15,0.15,0.16,0.00,0.00,0.00,0.00,
  └─ Computers,0.04,0.06,0.30,0.36,0.47,0.52,0.45,0.09,0.05,0.05,0.08,
  └─ Furniture n fittings,0.02,0.02,0.12,0.12,0.12,0.12,0.29,0.29,0.20,0.20,0.48,
  └─ Vehicles,0.05,0.58,0.58,0.58,0.58,0.00,0.62,0.69,0.29,0.29,0.29,
  └─ Intangible Assets,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.00,0.00,0.00,0.00,0.00
  └─ Other fixed assets,-0.01,-0.01,0.00,0.00,0.00,0.00,-0.02,0.10,0.12,0.12,0.11,
  └─ Gross Block,0.25,0.80,1.31,1.37,1.45,3.18,4.08,1.92,1.42,1.42,1.72,
  └─ Accumulated Depreciation,0.06,0.10,0.55,0.79,0.98,0.68,0.72,0.29,0.32,0.43,0.60,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,10.74,18.94,29.09,32.08,29.20,24.18,21.92,23.18,31.53,32.56,33.68,34.26
Other Assets,74.88,145.87,133.18,185.81,196.48,210.46,226.24,239.82,231.08,246.03,278.77,280.17
  └─ Inventories,10,4,9,9,7,11,8,10,0,0,17,17
  └─ Trade receivables,5,0,6,0,0,1,0,1,0,0,0,0
  └─ Cash Equivalents,3,1,5,6,10,13,6,4,1,10,4,10
  └─ Loans n Advances,34,46,37,116,157,91,93,3,0,0,0,204
  └─ Other asset items,23,94,76,54,23,96,119,222,230,236,258,50
Total Assets,85.81,165.51,163.03,218.47,226.15,237.14,251.53,264.63,263.71,279.58,313.57,315.47
