Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,49,49,49,49,49,49,49,49,49,49,63,63,
Reserves,756,840,1018,1178,1372,1311,1266,1420,1400,1510,1970,2078,
Borrowings,756,1007,1407,2255,2790,2963,2593,2922,2806,2898,2567,2636,
  └─ Long term Borrowings,355,529,740,1217,1678,1590,1374,1589,1477,1590,1354,1297,
  └─ Short term Borrowings,313,445,609,943,978,1033,1093,1216,1218,1208,1186,1322,
  └─ Lease Liabilities,0,0,0,0,0,148,127,116,111,100,28,16,
  └─ Other Borrowings,88,33,59,96,134,192,0,-0,0,0,0,,
Other Liabilities,369,300,418,728,974,932,1183,1236,1262,1321,1041,1125,
  └─ Trade Payables,273,196,261,351,442,372,610,708,815,842,849,848,
  └─ Advance from Customers,2,3,3,2,5,8,6,6,2,2,9,,
  └─ Other liability items,94,101,154,375,526,552,567,522,446,477,183,276,
Total Liabilities,1930,2196,2892,4211,5185,5255,5091,5627,5517,5777,5641,5901,
Fixed Assets,1058,1012,1271,2235,2382,3157,3184,3176,3084,2947,2518,2519,
  └─ Land,23,183,183,236,252,285,285,289,286,286,286,,
  └─ Building,227,195,232,492,509,864,748,864,888,777,778,,
  └─ Plant Machinery,598,650,879,1553,1605,2042,2230,2371,2348,2374,2163,,
  └─ Equipments,43,41,43,51,59,71,73,74,78,85,86,,
  └─ Furniture n fittings,30,39,45,86,102,131,133,132,141,142,146,,
  └─ Vehicles,3,2,2,2,2,2,2,2,2,1,1,,
  └─ Intangible Assets,641,616,608,618,766,822,805,817,865,874,798,520,
  └─ Other fixed assets,21,47,76,78,88,89,215,86,92,168,119,,
  └─ Gross Block,1586,1771,2069,3115,3383,4305,4489,4636,4701,4707,4377,,
  └─ Accumulated Depreciation,527,760,797,880,1001,1148,1305,1460,1617,1760,1858,,
CWIP,46,44,113,32,634,173,142,44,30,32,13,19,
Investments,0,48,0,126,123,29,18,13,10,2,11,11,
Other Assets,826,1094,1508,1818,2046,1896,1747,2394,2394,2796,3099,3351,
  └─ Inventories,554,584,754,990,1176,1087,795,1131,885,980,1008,1224,
  └─ Trade receivables,53,61,68,99,166,118,332,399,670,902,1087,1192,
    └─ Receivables over 6m,8,0,0,0,0,0,0,0,0,372,485,,11
    └─ Receivables under 6m,49,80,86,99,186,139,355,423,677,544,632,,7
    └─ Prov for Doubtful,-3,-19,-18,0,-19,-22,-23,-23,-7,-15,-30,,-4
  └─ Cash Equivalents,26,122,184,135,251,181,126,167,108,164,115,77,
  └─ Loans n Advances,54,38,57,51,43,52,34,46,204,57,24,30,
  └─ Other asset items,138,288,445,543,410,458,460,650,527,694,866,829,
Total Assets,1930,2196,2892,4211,5185,5255,5091,5627,5517,5777,5641,5901,
