Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,7,41,62,69,74,96
Reserves,-7,36,244,307,183,862
Borrowings,7,203,306,583,660,382
  └─ Long term Borrowings,0,121,221,146,431,287
  └─ Short term Borrowings,6,83,10,305,82,14
  └─ Lease Liabilities,1,0,75,132,146,81
  └─ Preference Capital,0,0,0,0,0,0
  └─ Other Borrowings,0,0,0,-0,-0,
Other Liabilities,5,100,275,667,946,492
  └─ Trade Payables,3,35,28,48,60,39
  └─ Advance from Customers,0,0,1,20,12,
  └─ Other liability items,1,64,246,598,874,453
Total Liabilities,12,380,887,1626,1863,1832
Fixed Assets,4,255,734,1432,1611,1268
  └─ Building,1,1,96,125,133,
  └─ Plant Machinery,0,0,0,0,1,
  └─ Equipments,0,0,5,8,13,
  └─ Computers,1,3,3,4,5,
  └─ Furniture n fittings,0,0,10,18,24,
  └─ Vehicles,0,1,2,6,2,
  └─ Intangible Assets,2,200,532,1050,1497,1126
  └─ Other fixed assets,0,66,164,320,329,
  └─ Gross Block,4,271,813,1532,2003,
  └─ Accumulated Depreciation,0,16,79,100,392,
CWIP,2,0,3,10,0,0
Investments,0,0,0,5,5,5
Other Assets,6,125,150,180,246,560
  └─ Inventories,1,1,1,2,3,3
  └─ Trade receivables,0,3,6,39,46,34
    └─ Receivables over 6m,0.00,0.00,0.00,7.20,17.04,
    └─ Receivables under 6m,0.32,3.49,6.42,34.80,37.77,
    └─ Prov for Doubtful,0.00,-0.04,-0.92,-3.03,-8.70,
  └─ Cash Equivalents,0,76,87,29,76,30
  └─ Loans n Advances,1,15,17,22,21,402
  └─ Other asset items,3,30,39,88,101,92
Total Assets,12,380,887,1626,1863,1832
