Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,21,21,21,21,21,21,21
Reserves,0,-1,5,1,9,64,226,435,913
Borrowings,0,37,40,125,42,39,40,27,146
  └─ Long term Borrowings,0,37,37,123,33,30,27,24,18
  └─ Short term Borrowings,0,0,3,2,9,8,13,3,63
  └─ Lease Liabilities,0,0,0,0,0,0,0,0,64
  └─ Other Borrowings,0,0,0,1,0,0,0,0,
Other Liabilities,5,48,56,55,96,159,427,637,1294
  └─ Non controlling int,0,30,31,32,-0,-0,-0,-0,-1
  └─ Trade Payables,0,0,7,6,58,75,298,234,772
  └─ Advance from Customers,0,0,0,1,9,7,62,135,
  └─ Other liability items,5,18,19,16,29,77,68,268,523
Total Liabilities,16,95,122,203,168,283,714,1120,2374
Fixed Assets,4,32,30,155,73,74,157,198,272
  └─ Land,0.00,0.00,5.60,5.60,5.60,11.80,10.19,10.19,
  └─ Building,0.00,0.43,0.43,5.06,0.00,0.00,0.00,0.00,
  └─ Plant Machinery,0.00,0.00,0.00,0.00,0.00,66.41,148.69,194.19,
  └─ Equipments,0.01,0.01,0.01,0.01,0.01,0.09,0.10,0.12,
  └─ Computers,0.05,0.04,0.06,0.06,0.14,0.23,0.36,0.42,
  └─ Furniture n fittings,0.00,0.00,0.00,0.00,69.73,0.00,0.64,2.50,
  └─ Intangible Assets,0.00,0.69,0.70,0.70,0.01,0.01,0.01,0.01,2.81
  └─ Other fixed assets,3.68,31.50,25.29,146.54,2.38,3.16,9.31,8.32,
  └─ Gross Block,3.74,32.67,32.09,157.97,77.87,81.70,169.30,215.75,
  └─ Accumulated Depreciation,0.04,0.78,1.60,3.29,4.71,7.42,12.55,17.93,
CWIP,4,3,41,2,1,80,3,56,178
Investments,0,0,0,30,1,0,9,52,31
Other Assets,8,59,50,17,93,128,545,814,1893
  └─ Inventories,0,0,0,0,2,37,29,6,117
  └─ Trade receivables,0,4,1,5,47,61,373,498,1172
  └─ Cash Equivalents,7,7,37,6,42,17,121,194,359
  └─ Loans n Advances,0,1,6,2,2,1,7,32,122
  └─ Other asset items,0,47,6,3,1,13,15,84,123
Total Assets,16,95,122,203,168,283,714,1120,2374
