Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Equity Capital,30,33,33,33
Reserves,-10,-53,-88,-110
Borrowings,200,230,230,230
  └─ Long term Borrowings,104,142,142,142
  └─ Short term Borrowings,29,33,33,33
  └─ Preference Capital,0,10,10,10
  └─ Other Borrowings,68,44,45,45
Other Liabilities,250,235,229,214
  └─ Trade Payables,35,40,42,48
  └─ Advance from Customers,2,2,2,2
  └─ Other liability items,214,193,185,164
Total Liabilities,471,445,404,366
Fixed Assets,364,357,331,299
  └─ Land,1,1,1,1
  └─ Building,2,2,2,2
  └─ Equipments,2,2,2,2
  └─ Computers,3,4,4,4
  └─ Furniture n fittings,7,7,7,7
  └─ Vehicles,0,0,0,0
  └─ Intangible Assets,1,2,2,2
  └─ Other fixed assets,400,422,427,421
  └─ Gross Block,416,440,445,439
  └─ Accumulated Depreciation,52,82,114,140
CWIP,30,22,15,13
Investments,2,2,2,2
Other Assets,75,63,56,53
  └─ Inventories,0.59,0.60,0.38,0.34
  └─ Trade receivables,23.81,13.67,14.77,15.37
  └─ Cash Equivalents,4.26,10.89,3.88,4.07
  └─ Loans n Advances,24.29,20.66,19.80,20.12
  └─ Other asset items,22.46,17.33,17.21,13.12
Total Assets,471,445,404,366
