Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Reserves,0.88,0.65,0.59,0.48,0.28,-7.40,-10.43,-10.61
Borrowings,0.00,0.00,0.16,0.16,0.26,0.87,0.42,0.58
  └─ Short term Borrowings,-0.00,-0.00,0.16,0.16,0.26,0.87,0.42,0.58
Other Liabilities,0.07,0.26,0.08,0.06,0.09,0.05,0.14,0.17
  └─ Trade Payables,0.01,0.01,0.01,0.00,0.08,0.05,0.14,0.12
  └─ Other liability items,0.06,0.25,0.07,0.06,0.01,0.00,0.00,0.05
Total Liabilities,10.95,10.91,10.83,10.70,10.63,3.52,0.13,0.14
Fixed Assets,6.86,6.82,6.78,6.74,6.71,1.61,0.10,0.10
  └─ Building,0.19,0.19,0.19,0.19,0.19,0.19,0.19,
  └─ Plant Machinery,0.11,0.11,0.11,0.11,0.11,0.11,0.11,
  └─ Computers,3.00,3.00,3.00,3.00,3.00,3.00,0.02,
  └─ Furniture n fittings,0.26,0.26,0.26,0.26,0.26,0.26,0.26,
  └─ Vehicles,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
  └─ Other fixed assets,5.45,5.45,5.45,5.45,5.45,0.00,0.00,
  └─ Gross Block,9.05,9.05,9.05,9.05,9.05,3.60,0.62,
  └─ Accumulated Depreciation,2.19,2.23,2.27,2.30,2.33,1.99,0.53,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.63,0.63,0.63,0.63,0.63,0.63,0.00,0.00
Other Assets,3.46,3.46,3.42,3.33,3.29,1.28,0.03,0.04
  └─ Trade receivables,2.53,2.54,2.52,2.45,2.52,0.54,0.00,0.00
  └─ Cash Equivalents,0.38,0.37,0.35,0.35,0.22,0.21,0.01,0.02
  └─ Loans n Advances,0.55,0.55,0.55,0.53,0.53,0.53,0.00,0.00
  └─ Other asset items,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02
Total Assets,10.95,10.91,10.83,10.70,10.63,3.52,0.13,0.14
