Metric,Mar 2016,Sep 2016
  └─ Long term Borrowings,14.25,14.44
  └─ Other liability items,0.30,0.30
  └─ Inventories,7.26,7.26
  └─ Cash Equivalents,0.00,0.01
  └─ Loans n Advances,0.12,0.12
  └─ Other asset items,0.06,0.05
