Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,60,60,60,60,60,60,60,60,60,60,60,60,60
Reserves,-2412,-1883,-2345,-3076,-3692,-4573,-4687,-4733,-4815,-4762,-4693,-4663,-4041
Borrowings,2473,2519,2801,2852,2949,2181,1989,1987,1987,1987,1981,1981,1177
  └─ Long term Borrowings,0,176,0,146,0,0,0,0,0,0,0,0,0
  └─ Short term Borrowings,2473,2313,2625,2686,2798,2081,1989,1987,1987,1987,1981,1981,1177
  └─ Other Borrowings,0,30,176,20,151,99,0,0,0,0,0,0,
Other Liabilities,3211,3979,4342,4453,5126,5140,5137,5048,5075,5063,5045,4983,4985
  └─ Trade Payables,305,727,647,175,216,186,198,153,1121,1118,1119,1098,1098
  └─ Advance from Customers,224,103,77,94,71,109,60,0,6,6,6,6,
  └─ Other liability items,2682,3149,3618,4184,4839,4846,4879,4894,3948,3939,3920,3879,3887
Total Liabilities,3332,4676,4858,4290,4443,2808,2499,2361,2307,2347,2393,2361,2181
Fixed Assets,69,964,950,934,918,904,887,871,0,0,0,0,0
  └─ Land,10.38,622.63,622.66,403.75,400.48,400.48,394.87,394.86,0.00,0.00,0.00,0.00,
  └─ Building,62.97,359.88,360.53,209.28,208.29,208.52,207.30,207.30,0.00,0.00,0.00,0.00,
  └─ Plant Machinery,29.93,33.09,32.90,13.17,13.12,14.53,12.90,13.79,0.00,0.00,0.00,0.00,
  └─ Equipments,5.45,2.23,2.29,0.51,0.51,0.44,0.43,0.39,0.00,0.00,0.00,0.00,
  └─ Computers,3.41,3.22,3.15,0.80,0.90,0.87,0.89,0.80,0.00,0.00,0.00,0.00,
  └─ Furniture n fittings,4.40,9.87,10.04,4.11,4.25,4.53,4.52,4.36,0.00,0.00,0.00,0.00,
  └─ Vehicles,1.51,1.66,1.59,1.01,1.01,1.01,1.02,0.94,0.00,0.00,0.00,0.00,
  └─ Other fixed assets,0.37,0.00,0.37,318.12,322.46,322.23,326.60,325.73,0.00,0.00,0.00,0.00,
  └─ Gross Block,118.42,1032.58,1033.53,950.75,951.02,952.61,948.53,948.17,0.00,0.00,0.00,0.00,
  └─ Accumulated Depreciation,49.49,68.12,83.65,16.71,33.39,48.75,61.82,76.85,0.00,0.00,0.00,0.00,
CWIP,1,0,0,1,2,0,0,2,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,3262,3710,3907,3355,3523,1903,1612,1488,2307,2347,2393,2361,2181
  └─ Inventories,1,6,0,40,0,0,0,0,0,0,0,0,0
  └─ Trade receivables,1969,2425,2641,2113,2221,121,171,138,1067,1069,1070,1070,1071
    └─ Receivables over 6m,1641,1789,2458,0,0,0,0,0,0,1069,1725,1725,
    └─ Receivables under 6m,356,667,214,2146,2254,158,208,177,1722,0,0,0,
    └─ Prov for Doubtful,-28,-30,-30,-33,-33,-37,-37,-39,-656,0,-656,-656,
  └─ Cash Equivalents,64,11,13,10,102,128,50,89,37,16,201,41,2
  └─ Loans n Advances,32,38,43,38,19,30,34,33,33,-1152,-1163,-1180,35
  └─ Other asset items,1196,1231,1210,1154,1181,1625,1357,1228,1170,2414,2284,2431,1072
Total Assets,3332,4676,4858,4290,4443,2808,2499,2361,2307,2347,2393,2361,2181
