Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,28,30,39,39,39,40,40
Reserves,147,144,177,339,374,406,600,685
Borrowings,85,103,106,31,15,66,24,27
  └─ Long term Borrowings,38.20,36.75,25.53,0.00,0.95,1.43,0.88,0.68
  └─ Short term Borrowings,37.93,60.20,80.52,31.08,13.68,63.18,22.22,25.93
  └─ Lease Liabilities,0.00,0.16,0.12,0.00,0.00,1.19,0.93,0.45
  └─ Other Borrowings,8.75,6.37,0.00,0.00,0.00,0.00,-0.01,
Other Liabilities,92,66,50,48,93,129,188,212
  └─ Non controlling int,0,0,0,0,0,-1,-3,-0
  └─ Trade Payables,53,27,15,15,26,61,55,57
  └─ Advance from Customers,1,1,0,0,30,30,86,
  └─ Other liability items,38,38,34,32,37,40,51,155
Total Liabilities,330,342,363,458,520,640,852,965
Fixed Assets,168,158,157,154,170,186,190,198
  └─ Land,58.41,58.41,58.41,54.63,54.63,58.41,58.41,
  └─ Building,39.74,37.29,41.93,24.03,26.87,47.27,46.34,
  └─ Plant Machinery,79.89,80.41,82.95,87.29,102.05,125.59,138.31,
  └─ Equipments,1.42,1.65,1.84,2.72,3.52,4.94,6.10,
  └─ Computers,0.33,0.61,0.86,1.21,1.38,1.91,2.39,
  └─ Furniture n fittings,2.79,2.83,3.02,4.25,5.56,6.33,6.87,
  └─ Vehicles,3.85,3.98,4.04,4.04,3.93,4.38,4.88,
  └─ Intangible Assets,3.09,3.09,3.09,3.09,9.54,9.54,9.54,12.58
  └─ Other fixed assets,0.05,0.23,0.25,22.39,22.88,1.41,5.85,
  └─ Gross Block,189.57,188.50,196.39,203.65,230.36,259.78,278.69,
  └─ Accumulated Depreciation,21.28,30.66,39.76,49.99,60.83,74.07,88.50,
CWIP,3,5,1,0,5,4,11,9
Investments,0,0,1,4,12,22,28,33
Other Assets,159,180,204,300,335,427,623,725
  └─ Inventories,65,60,75,67,93,150,151,160
  └─ Trade receivables,83,98,95,123,150,198,295,363
    └─ Receivables over 6m,0,0,13,41,72,86,175,
    └─ Receivables under 6m,87,103,88,90,87,127,140,
    └─ Prov for Doubtful,-4,-5,-6,-8,-10,-15,-20,
  └─ Cash Equivalents,2,4,8,76,40,11,111,119
  └─ Loans n Advances,5,11,18,25,18,29,25,20
  └─ Other asset items,4,6,9,9,34,39,42,63
Total Assets,330,342,363,458,520,640,852,965
