Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.87,6,9
Reserves,8,9,39
Borrowings,20,21,7
  └─ Long term Borrowings,1.90,2.55,2.51
  └─ Short term Borrowings,17.74,18.82,4.37
Other Liabilities,20,17,33
  └─ Trade Payables,18.48,12.92,25.56
  └─ Advance from Customers,0.01,0.05,
  └─ Other liability items,1.78,4.23,7.34
Total Liabilities,48,54,87
Fixed Assets,2,2,6
  └─ Equipments,0.27,0.30,
  └─ Computers,0.28,0.60,
  └─ Furniture n fittings,0.36,0.36,
  └─ Vehicles,1.39,1.71,
  └─ Intangible Assets,0.00,0.00,4.13
  └─ Other fixed assets,-0.01,-0.01,
  └─ Gross Block,2.29,2.96,
  └─ Accumulated Depreciation,0.65,1.04,
CWIP,0,2,3
Investments,0,0,2
Other Assets,47,50,76
  └─ Trade receivables,39,40,58
    └─ Receivables over 6m,4.08,11.76,
    └─ Receivables under 6m,35.29,28.45,
  └─ Cash Equivalents,3,2,3
  └─ Loans n Advances,3,6,15
  └─ Other asset items,1,3,1
Total Assets,48,54,87
