Metric,Mar 2018,Mar 2019,Sep 2019
Equity Capital,3.08,3.08,3.08
Reserves,1.54,1.22,1.11
Borrowings,0.00,0.00,0.00
Other Liabilities,0.69,0.42,0.37
  └─ Non controlling int,0.62,0.36,0.28
  └─ Trade Payables,0.07,0.05,0.05
  └─ Other liability items,0.00,0.01,0.04
Total Liabilities,5.31,4.72,4.56
Fixed Assets,1.46,1.41,1.43
  └─ Computers,0.04,0.06,
  └─ Furniture n fittings,0.04,0.04,
  └─ Intangible Assets,1.46,1.46,1.32
  └─ Gross Block,1.54,1.56,
  └─ Accumulated Depreciation,0.08,0.15,
CWIP,0.00,0.00,0.00
Investments,2.38,1.73,2.32
Other Assets,1.47,1.58,0.81
  └─ Trade receivables,0.15,0.06,0.08
  └─ Cash Equivalents,1.06,0.88,0.27
  └─ Loans n Advances,0.13,0.13,0.37
  └─ Other asset items,0.13,0.51,0.09
Total Assets,5.31,4.72,4.56
