Metric,Mar 2009,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,46,117,137,143,143,165,244,311,311,311,311
Reserves,1300,680,390,-30,-240,33,266,163,-216,141,59
Borrowings,2142,3297,4099,3187,2237,2036,1902,1938,2270,199,219
  └─ Long term Borrowings,,2137,2739,2143,1414,1941,1732,1831,2111,152,130
  └─ Short term Borrowings,,1072,1241,847,628,77,162,105,157,46,89
  └─ Lease Liabilities,,0,0,0,23,18,7,4,3,1,0
  └─ Preference Capital,0,0,0,0,0,74,91,37,41,0,0
  └─ Other Borrowings,2142,88,119,196,171,-74,-91,-39,-41,0,
Other Liabilities,835,1238,1491,1671,1072,998,1020,1024,1011,162,77
  └─ Trade Payables,244.36,537.92,723.05,873.11,623.15,582.82,588.86,595.54,622.85,34.39,28.57
  └─ Advance from Customers,16.11,28.62,45.02,24.08,33.22,35.95,48.79,84.00,34.30,0.33,
  └─ Other liability items,574.08,671.64,722.74,774.09,415.62,379.21,382.72,344.25,353.90,127.34,48.67
Total Liabilities,4322,5333,6117,4970,3212,3232,3433,3435,3376,813,666
Fixed Assets,1874,2544,2890,2772,2167,2081,2005,1736,1728,602,539
  └─ Land,126.50,571.52,991.10,1000.87,753.55,769.74,781.72,574.39,588.63,309.74,
  └─ Building,328.17,520.30,545.75,547.08,418.76,419.95,420.37,411.54,416.84,194.75,
  └─ Plant Machinery,2273.66,1532.29,1576.95,1589.37,1365.37,1372.34,1391.15,1385.44,1488.22,288.45,
  └─ Equipments,0.00,7.96,8.37,8.11,5.79,6.72,7.87,7.33,8.27,6.63,
  └─ Furniture n fittings,29.76,11.71,11.77,12.09,9.65,9.64,9.73,9.36,9.71,7.01,
  └─ Railway sidings,8.63,14.40,14.35,17.47,17.47,17.47,17.47,19.74,21.61,0.00,
  └─ Vehicles,7.78,20.05,20.79,19.25,18.70,18.08,18.71,17.67,20.09,10.03,
  └─ Intangible Assets,12.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other fixed assets,0.07,1.32,1.71,1.67,1.37,3.16,2.52,7.59,8.34,2.42,
  └─ Gross Block,2787.13,2679.55,3170.79,3195.91,2590.66,2617.10,2649.54,2433.06,2561.71,819.03,
  └─ Accumulated Depreciation,913.22,136.00,280.72,423.89,423.88,536.36,644.71,696.99,833.37,217.15,
CWIP,865,730,790,800,31,33,49,65,34,5,3
Investments,49,71,720,82,70,77,74,82,80,71,11
Other Assets,1534,1988,1717,1317,944,1041,1305,1551,1533,134,113
  └─ Inventories,589.06,466.56,458.01,351.51,162.22,137.21,180.43,232.08,286.59,36.42,32.20
  └─ Trade receivables,380.17,526.68,572.92,586.78,196.86,304.93,320.26,372.13,468.10,32.36,29.03
  └─ Cash Equivalents,56.86,177.76,107.64,46.51,16.19,111.94,179.17,109.97,184.00,14.22,12.85
  └─ Loans n Advances,322.52,136.59,119.03,54.37,64.03,161.74,212.53,163.56,110.89,9.57,7.59
  └─ Other asset items,185.49,680.76,459.42,277.37,505.10,324.71,412.97,673.50,483.72,41.28,31.32
Total Assets,4322,5333,6117,4970,3212,3232,3433,3435,3376,813,666
