Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Sep 2020
Equity Capital,0.10,0.10,0.10,10.83,10.83,10.83,10.83,21.65,21.65,21.65,21.65,21.65,
Reserves,7.01,7.99,10.20,13.15,13.63,13.66,14.59,4.51,2.06,3.56,0.31,-8.36,
Borrowings,4.64,6.19,10.70,10.84,10.65,16.63,12.32,14.43,12.90,9.28,15.85,28.47,
  └─ Long term Borrowings,,,5.02,4.69,4.52,7.77,6.72,8.52,5.25,2.40,3.09,7.18,6.84
  └─ Short term Borrowings,,,5.42,5.53,6.13,8.52,5.60,5.91,7.27,6.63,12.67,19.30,6.80
  └─ Lease Liabilities,,,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.26,0.09,1.99,0.00
  └─ Other Borrowings,,6.19,0.26,0.62,0.00,0.34,0.00,0.00,0.00,-0.01,0.00,,
Other Liabilities,10.00,7.43,10.29,14.44,19.98,28.99,27.45,21.17,23.22,21.18,33.35,51.49,
  └─ Non controlling int,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,-0.11,0.00
  └─ Trade Payables,,5.54,7.13,5.26,13.93,23.33,18.71,13.85,7.49,9.75,22.77,41.84,15.89
  └─ Advance from Customers,,0.59,0.64,0.51,0.00,2.21,4.49,2.30,5.36,6.83,5.61,,
  └─ Other liability items,,1.30,2.52,8.67,6.05,3.45,4.25,5.02,10.37,4.60,4.90,9.76,7.76
Total Liabilities,21.75,21.71,31.29,49.26,55.09,70.11,65.19,61.76,59.83,55.67,71.16,93.25,
Fixed Assets,7.05,6.73,7.08,6.47,5.74,6.01,4.76,4.35,4.24,4.48,4.81,11.06,
  └─ Land,,1.88,1.88,1.88,0.00,1.93,2.34,2.34,1.36,0.00,0.00,,
  └─ Building,,3.91,3.99,4.29,0.00,5.35,0.00,0.00,2.67,4.33,4.42,,
  └─ Plant Machinery,,3.64,3.54,3.55,0.00,4.29,0.25,0.25,0.76,0.76,0.77,,
  └─ Equipments,,0.23,0.24,0.26,0.00,0.34,1.51,1.51,0.09,0.07,0.10,,
  └─ Computers,,0.60,0.63,0.72,0.00,0.80,0.08,0.08,0.09,0.12,0.21,,
  └─ Furniture n fittings,,0.47,0.48,0.50,0.00,0.59,0.04,0.04,0.00,0.19,0.20,,
  └─ Vehicles,,0.73,1.52,1.52,0.00,1.75,0.55,0.54,0.54,0.56,1.10,,
  └─ Intangible Assets,,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00
  └─ Other fixed assets,,0.01,0.24,0.10,5.74,0.09,0.43,0.35,0.01,0.04,0.10,,
  └─ Gross Block,,11.60,12.52,12.82,5.74,15.14,5.20,5.11,5.52,6.07,7.11,,
  └─ Accumulated Depreciation,,4.86,5.43,6.34,0.00,9.12,0.44,0.76,1.28,1.60,2.30,,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.05,0.00,0.00,0.00,
Investments,0.00,0.00,0.00,0.00,0.00,5.72,-0.12,-0.92,0.00,0.00,0.00,0.00,
Other Assets,14.70,14.98,24.21,42.79,49.35,58.38,60.55,58.33,52.54,51.19,66.35,82.19,
  └─ Inventories,,3,4,4,9,12,9,11,9,12,10,12,10
  └─ Trade receivables,,8,11,15,22,28,26,29,29,21,38,53,23
  └─ Cash Equivalents,,1,2,9,2,1,0,0,2,1,2,3,1
  └─ Loans n Advances,,1,2,2,0,4,8,5,7,9,4,1,0
  └─ Other asset items,,2,5,12,17,13,17,13,6,8,12,12,21
Total Assets,21.75,21.71,31.29,49.26,55.09,70.11,65.19,61.76,59.83,55.67,71.16,93.25,
