Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,84,96,108,120,121,121,121,112,112,112,112,112,
Reserves,49,52,66,136,147,173,171,146,148,100,53,-19,
Borrowings,40,19,3,3,4,13,18,32,41,39,40,44,
  └─ Long term Borrowings,31.58,15.33,0.80,0.98,0.64,0.55,0.21,0.03,0.02,0.00,0.00,0.00,
  └─ Short term Borrowings,5.84,0.31,0.48,1.88,2.12,8.63,17.94,32.42,41.01,39.07,40.20,44.10,
  └─ Other Borrowings,2.22,3.41,2.03,0.00,0.90,3.55,0.00,0.00,0.00,0.00,0.00,,
Other Liabilities,59,14,155,104,193,141,73,135,98,101,53,51,
  └─ Non controlling int,6.03,0.78,1.65,3.83,5.74,6.50,6.04,-2.11,-2.11,-2.12,-2.11,-2.10,
  └─ Trade Payables,48.58,9.38,147.96,90.41,163.86,106.79,35.48,87.85,52.36,55.32,10.78,5.86,
  └─ Advance from Customers,0.13,0.05,0.04,0.06,0.13,2.13,5.38,1.28,3.07,1.73,1.11,,
  └─ Other liability items,4.00,3.84,5.15,9.68,23.53,25.73,26.49,47.67,44.41,46.24,43.54,47.71,
Total Liabilities,231,181,332,363,466,448,384,425,399,352,258,189,
Fixed Assets,7,6,6,9,9,9,10,10,10,9,12,11,
  └─ Land,5.08,5.08,5.08,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,,
  └─ Building,0.46,0.46,0.62,2.40,2.40,2.50,3.45,3.63,3.63,3.63,6.54,,
  └─ Plant Machinery,2.33,2.27,0.15,0.67,0.67,0.92,0.94,0.99,1.13,1.13,1.13,,
  └─ Equipments,0.87,0.16,0.07,0.12,0.13,0.18,0.18,0.21,0.25,0.29,0.29,,
  └─ Computers,4.71,0.43,0.16,0.16,0.16,0.17,0.11,0.17,0.17,0.17,0.17,,
  └─ Furniture n fittings,0.57,0.57,0.38,0.77,0.78,0.83,0.64,0.69,0.88,0.88,0.88,,
  └─ Vehicles,0.33,0.24,0.13,0.23,0.21,0.34,0.34,0.34,0.34,0.34,0.21,,
  └─ Other fixed assets,0.23,0.04,-0.01,0.00,0.01,0.22,0.34,0.39,0.40,0.19,0.20,,
  └─ Gross Block,14.58,9.25,6.58,9.49,9.50,10.30,11.14,11.56,11.94,11.77,14.56,,
  └─ Accumulated Depreciation,7.32,3.30,0.19,0.49,0.84,1.16,1.26,1.69,2.11,2.36,2.71,,
CWIP,0,0,3,0,0,68,73,3,3,3,0,0,
Investments,0,1,0,14,0,0,0,0,0,0,0,0,
Other Assets,224,174,323,340,456,371,301,412,386,340,246,177,
  └─ Inventories,17,2,2,15,4,12,26,23,46,30,10,0,
  └─ Trade receivables,98,62,216,201,339,249,170,189,140,120,74,6,
    └─ Receivables over 6m,66,30,0,0,0,0,0,89,129,130,88,,88
    └─ Receivables under 6m,32,33,216,201,346,256,177,100,11,4,0,,23
    └─ Prov for Doubtful,0,-0,-0,-0,-7,-7,-7,0,0,-14,-14,,0
  └─ Cash Equivalents,65,70,70,75,77,18,6,2,2,1,0,0,
  └─ Loans n Advances,3,1,0,4,0,9,7,2,7,8,9,0,
  └─ Other asset items,40,39,34,45,37,82,92,196,191,180,153,171,
Total Assets,231,181,332,363,466,448,384,425,399,352,258,189,
