Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2013,Mar 2014
Equity Capital,25,25,25,25,25,25,25,25,27,31,33,33,,
Reserves,354,358,366,362,339,171,112,25,-87,-65,-18,-154,,
Borrowings,621,651,784,728,726,717,622,624,653,672,238,268,,
  └─ Long term Borrowings,296,290,447,219,286,19,24,25,0,17,100,19,,
  └─ Short term Borrowings,273,289,290,270,265,338,598,599,644,646,138,250,,
  └─ Lease Liabilities,0,0,0,0,0,2,1,1,9,9,0,0,,
  └─ Other Borrowings,53,71,47,239,176,359,0,0,0,0,,,,
Other Liabilities,312,330,311,326,325,247,321,323,300,546,216,178,,
  └─ Non controlling int,0,0,-0,-1,-1,-2,-3,-3,-9,-10,-10,-10,,
  └─ Trade Payables,205,250,251,257,262,172,240,227,189,167,82,91,,
  └─ Advance from Customers,37,8,6,13,10,14,5,8,9,219,,,,
  └─ Other liability items,70,71,54,56,54,62,79,91,111,170,144,96,,
Total Liabilities,1312,1364,1487,1440,1415,1159,1080,998,893,1184,468,324,,
Fixed Assets,693,698,684,641,607,568,495,432,394,346,236,212,,
  └─ Land,18.65,33.56,29.88,18.32,18.32,18.32,18.32,18.32,18.32,18.32,,,,
  └─ Building,136.13,130.77,112.34,115.12,119.26,124.65,124.09,125.48,136.93,139.23,,,,
  └─ Plant Machinery,617.74,669.74,535.06,558.07,576.01,597.27,596.53,589.25,606.76,611.34,,,,
  └─ Equipments,7.92,9.15,2.16,2.35,2.48,2.60,2.70,2.80,2.86,2.92,,,,
  └─ Computers,2.74,3.04,0.78,0.94,1.24,1.35,1.47,1.84,1.96,2.27,,,,
  └─ Furniture n fittings,28.13,31.75,19.52,21.09,20.39,21.45,21.92,22.58,22.89,24.00,,,,
  └─ Vehicles,2.78,2.85,2.11,2.24,1.20,1.93,1.79,1.92,1.92,1.92,,,,
  └─ Intangible Assets,0.10,0.10,0.04,0.04,0.04,78.76,78.76,78.76,78.76,78.76,0.00,0.00,,
  └─ Other fixed assets,30.06,33.89,51.49,67.41,77.14,0.40,0.41,0.44,0.44,0.44,,,,
  └─ Gross Block,844.25,914.85,753.38,785.58,816.08,846.73,845.99,841.39,870.84,879.20,,,,
  └─ Accumulated Depreciation,150.84,216.68,69.54,144.29,209.23,279.05,351.35,409.00,476.38,533.55,,,,
CWIP,4,12,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,,
Investments,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,,
Other Assets,614,653,803,799,809,592,585,565,498,838,232,112,,
  └─ Inventories,149.03,166.89,223.61,239.14,160.56,140.17,152.08,122.55,92.16,90.79,28.21,8.82,,
  └─ Trade receivables,298.55,370.41,436.41,375.18,396.23,238.58,225.29,230.39,173.21,105.49,50.74,47.59,,
    └─ Receivables over 6m,40,33,0,0,0,0,0,93,179,158,,,46,9
    └─ Receivables under 6m,260,339,439,377,400,265,234,164,39,10,,,204,268
    └─ Prov for Doubtful,-2,-2,-3,-2,-4,-26,-9,-27,-45,-62,,,0,0
  └─ Cash Equivalents,30.18,27.46,27.43,16.21,20.81,12.36,18.17,13.16,12.32,164.63,12.28,4.86,,
  └─ Loans n Advances,88.96,47.00,28.08,37.06,110.26,59.30,26.70,18.07,20.04,19.23,8.64,7.92,,
  └─ Other asset items,47.28,41.18,87.22,131.50,120.74,141.22,163.15,181.09,200.61,457.75,132.33,43.20,,
Total Assets,1312,1364,1487,1440,1415,1159,1080,998,893,1184,468,324,,
